Reference	Text
Mt 25:42	For I was hungry and you gave me no food, I was thirsty and you gave me no drink, 
Mt 25:43	I was a stranger and you did not welcome me, naked and you did not clothe me, sick and in prison and you did not visit me.’ 
Mt 25:44	Then they also will answer, saying, ‘Lord, when did we see you hungry or thirsty or a stranger or naked or sick or in prison, and did not minister to you?’ 
Mt 25:45	Then he will answer them, saying, ‘Truly, I say to you, as you did not do it to one of the least of these, you did not do it to me.’ 
Mt 25:46	And these will go away into eternal punishment, but the righteous into eternal life.” 
Mt 26:1	When Jesus had finished all these sayings, he said to his disciples, 
Mt 26:2	“You know that after two days the Passover is coming, and the Son of Man will be delivered up to be crucified.” 
Mt 26:3	Then the chief priests and the elders of the people gathered in the palace of the high priest, whose name was Caiaphas, 
Mt 26:4	and plotted together in order to arrest Jesus by stealth and kill him. 
Mt 26:5	But they said, “Not during the feast, lest there be an uproar among the people.” 
Mt 26:6	Now when Jesus was at Bethany in the house of Simon the leper, 
Mt 26:7	a woman came up to him with an alabaster flask of very expensive ointment, and she poured it on his head as he reclined at table. 
Mt 26:8	And when the disciples saw it, they were indignant, saying, “Why this waste? 
Mt 26:9	For this could have been sold for a large sum and given to the poor.” 
Mt 26:10	But Jesus, aware of this, said to them, “Why do you trouble the woman? For she has done a beautiful thing to me. 
Mt 26:11	For you always have the poor with you, but you will not always have me. 
Mt 26:12	In pouring this ointment on my body, she has done it to prepare me for burial. 
Mt 26:13	Truly, I say to you, wherever this gospel is proclaimed in the whole world, what she has done will also be told in memory of her.” 
Mt 26:14	Then one of the twelve, whose name was Judas Iscariot, went to the chief priests 
Mt 26:15	and said, “What will you give me if I deliver him over to you?” And they paid him thirty pieces of silver. 
Mt 26:16	And from that moment he sought an opportunity to betray him. 
Mt 26:17	Now on the first day of Unleavened Bread the disciples came to Jesus, saying, “Where will you have us prepare for you to eat the Passover?” 
Mt 26:18	He said, “Go into the city to a certain man and say to him, ‘The Teacher says, My time is at hand. I will keep the Passover at your house with my disciples.’ ” 
Mt 26:19	And the disciples did as Jesus had directed them, and they prepared the Passover. 
Mt 26:20	When it was evening, he reclined at table with the twelve. 
Mt 26:21	And as they were eating, he said, “Truly, I say to you, one of you will betray me.” 
Mt 26:22	And they were very sorrowful and began to say to him one after another, “Is it I, Lord?” 
Mt 26:23	He answered, “He who has dipped his hand in the dish with me will betray me. 
Mt 26:24	The Son of Man goes as it is written of him, but woe to that man by whom the Son of Man is betrayed! It would have been better for that man if he had not been born.” 
Mt 26:25	Judas, who would betray him, answered, “Is it I, Rabbi?” He said to him, “You have said so.” 
Mt 26:26	Now as they were eating, Jesus took bread, and after blessing it broke it and gave it to the disciples, and said, “Take, eat; this is my body.” 
Mt 26:27	And he took a cup, and when he had given thanks he gave it to them, saying, “Drink of it, all of you, 
Mt 26:28	for this is my blood of the covenant, which is poured out for many for the forgiveness of sins. 
Mt 26:29	I tell you I will not drink again of this fruit of the vine until that day when I drink it new with you in my Father’s kingdom.” 
Mt 26:30	And when they had sung a hymn, they went out to the Mount of Olives. 
Mt 26:31	Then Jesus said to them, “You will all fall away because of me this night. For it is written, ‘I will strike the shepherd, and the sheep of the flock will be scattered.’ 
Mt 26:32	But after I am raised up, I will go before you to Galilee.” 
Mt 26:33	Peter answered him, “Though they all fall away because of you, I will never fall away.” 
Mt 26:34	Jesus said to him, “Truly, I tell you, this very night, before the rooster crows, you will deny me three times.” 
Mt 26:35	Peter said to him, “Even if I must die with you, I will not deny you!” And all the disciples said the same. 
Mt 26:36	Then Jesus went with them to a place called Gethsemane, and he said to his disciples, “Sit here, while I go over there and pray.” 
Mt 26:37	And taking with him Peter and the two sons of Zebedee, he began to be sorrowful and troubled. 
Mt 26:38	Then he said to them, “My soul is very sorrowful, even to death; remain here, and watch with me.” 
Mt 26:39	And going a little farther he fell on his face and prayed, saying, “My Father, if it be possible, let this cup pass from me; nevertheless, not as I will, but as you will.” 
Mt 26:40	And he came to the disciples and found them sleeping. And he said to Peter, “So, could you not watch with me one hour? 
Mt 26:41	Watch and pray that you may not enter into temptation. The spirit indeed is willing, but the flesh is weak.” 
Mt 26:42	Again, for the second time, he went away and prayed, “My Father, if this cannot pass unless I drink it, your will be done.” 
Mt 26:43	And again he came and found them sleeping, for their eyes were heavy. 
Mt 26:44	So, leaving them again, he went away and prayed for the third time, saying the same words again. 
Mt 26:45	Then he came to the disciples and said to them, “Sleep and take your rest later on. See, the hour is at hand, and the Son of Man is betrayed into the hands of sinners. 
Mt 26:46	Rise, let us be going; see, my betrayer is at hand.” 
Mt 26:47	While he was still speaking, Judas came, one of the twelve, and with him a great crowd with swords and clubs, from the chief priests and the elders of the people. 
Mt 26:48	Now the betrayer had given them a sign, saying, “The one I will kiss is the man; seize him.” 
Mt 26:49	And he came up to Jesus at once and said, “Greetings, Rabbi!” And he kissed him. 
Mt 26:50	Jesus said to him, “Friend, do what you came to do.” Then they came up and laid hands on Jesus and seized him. 
Mt 26:51	And behold, one of those who were with Jesus stretched out his hand and drew his sword and struck the servant of the high priest and cut off his ear. 
Mt 26:52	Then Jesus said to him, “Put your sword back into its place. For all who take the sword will perish by the sword. 
Mt 26:53	Do you think that I cannot appeal to my Father, and he will at once send me more than twelve legions of angels? 
Mt 26:54	But how then should the Scriptures be fulfilled, that it must be so?” 
Mt 26:55	At that hour Jesus said to the crowds, “Have you come out as against a robber, with swords and clubs to capture me? Day after day I sat in the temple teaching, and you did not seize me. 
Mt 26:56	But all this has taken place that the Scriptures of the prophets might be fulfilled.” Then all the disciples left him and fled. 
Mt 26:57	Then those who had seized Jesus led him to Caiaphas the high priest, where the scribes and the elders had gathered. 
Mt 26:58	And Peter was following him at a distance, as far as the courtyard of the high priest, and going inside he sat with the guards to see the end. 
Mt 26:59	Now the chief priests and the whole council were seeking false testimony against Jesus that they might put him to death, 
Mt 26:60	but they found none, though many false witnesses came forward. At last two came forward 
Mt 26:61	and said, “This man said, ‘I am able to destroy the temple of God, and to rebuild it in three days.’ ” 
Mt 26:62	And the high priest stood up and said, “Have you no answer to make? What is it that these men testify against you?” 
Mt 26:63	But Jesus remained silent. And the high priest said to him, “I adjure you by the living God, tell us if you are the Christ, the Son of God.” 
Mt 26:64	Jesus said to him, “You have said so. But I tell you, from now on you will see the Son of Man seated at the right hand of Power and coming on the clouds of heaven.” 
Mt 26:65	Then the high priest tore his robes and said, “He has uttered blasphemy. What further witnesses do we need? You have now heard his blasphemy. 
Mt 26:66	What is your judgment?” They answered, “He deserves death.” 
Mt 26:67	Then they spit in his face and struck him. And some slapped him, 
Mt 26:68	saying, “Prophesy to us, you Christ! Who is it that struck you?” 
Mt 26:69	Now Peter was sitting outside in the courtyard. And a servant girl came up to him and said, “You also were with Jesus the Galilean.” 
Mt 26:70	But he denied it before them all, saying, “I do not know what you mean.” 
Mt 26:71	And when he went out to the entrance, another servant girl saw him, and she said to the bystanders, “This man was with Jesus of Nazareth.” 
Mt 26:72	And again he denied it with an oath: “I do not know the man.” 
Mt 26:73	After a little while the bystanders came up and said to Peter, “Certainly you too are one of them, for your accent betrays you.” 
Mt 26:74	Then he began to invoke a curse on himself and to swear, “I do not know the man.” And immediately the rooster crowed. 
Mt 26:75	And Peter remembered the saying of Jesus, “Before the rooster crows, you will deny me three times.” And he went out and wept bitterly. 
Mt 27:1	When morning came, all the chief priests and the elders of the people took counsel against Jesus to put him to death. 
Mt 27:2	And they bound him and led him away and delivered him over to Pilate the governor. 
Mt 27:3	Then when Judas, his betrayer, saw that Jesus was condemned, he changed his mind and brought back the thirty pieces of silver to the chief priests and the elders, 
Mt 27:4	saying, “I have sinned by betraying innocent blood.” They said, “What is that to us? See to it yourself.” 
Mt 27:5	And throwing down the pieces of silver into the temple, he departed, and he went and hanged himself. 
Mt 27:6	But the chief priests, taking the pieces of silver, said, “It is not lawful to put them into the treasury, since it is blood money.” 
Mt 27:7	So they took counsel and bought with them the potter’s field as a burial place for strangers. 
Mt 27:8	Therefore that field has been called the Field of Blood to this day. 
Mt 27:9	Then was fulfilled what had been spoken by the prophet Jeremiah, saying, “And they took the thirty pieces of silver, the price of him on whom a price had been set by some of the sons of Israel, 
Mt 27:10	and they gave them for the potter’s field, as the Lord directed me.” 
Mt 27:11	Now Jesus stood before the governor, and the governor asked him, “Are you the King of the Jews?” Jesus said, “You have said so.” 
Mt 27:12	But when he was accused by the chief priests and elders, he gave no answer. 
Mt 27:13	Then Pilate said to him, “Do you not hear how many things they testify against you?” 
Mt 27:14	But he gave him no answer, not even to a single charge, so that the governor was greatly amazed. 
Mt 27:15	Now at the feast the governor was accustomed to release for the crowd any one prisoner whom they wanted. 
Mt 27:16	And they had then a notorious prisoner called Barabbas. 
Mt 27:17	So when they had gathered, Pilate said to them, “Whom do you want me to release for you: Barabbas, or Jesus who is called Christ?” 
Mt 27:18	For he knew that it was out of envy that they had delivered him up. 
Mt 27:19	Besides, while he was sitting on the judgment seat, his wife sent word to him, “Have nothing to do with that righteous man, for I have suffered much because of him today in a dream.” 
Mt 27:20	Now the chief priests and the elders persuaded the crowd to ask for Barabbas and destroy Jesus. 
Mt 27:21	The governor again said to them, “Which of the two do you want me to release for you?” And they said, “Barabbas.” 
Mt 27:22	Pilate said to them, “Then what shall I do with Jesus who is called Christ?” They all said, “Let him be crucified!” 
Mt 27:23	And he said, “Why? What evil has he done?” But they shouted all the more, “Let him be crucified!” 
Mt 27:24	So when Pilate saw that he was gaining nothing, but rather that a riot was beginning, he took water and washed his hands before the crowd, saying, “I am innocent of this man’s blood; see to it yourselves.” 
Mt 27:25	And all the people answered, “His blood be on us and on our children!” 
Mt 27:26	Then he released for them Barabbas, and having scourged Jesus, delivered him to be crucified. 
Mt 27:27	Then the soldiers of the governor took Jesus into the governor’s headquarters, and they gathered the whole battalion before him. 
Mt 27:28	And they stripped him and put a scarlet robe on him, 
Mt 27:29	and twisting together a crown of thorns, they put it on his head and put a reed in his right hand. And kneeling before him, they mocked him, saying, “Hail, King of the Jews!” 
Mt 27:30	And they spit on him and took the reed and struck him on the head. 
Mt 27:31	And when they had mocked him, they stripped him of the robe and put his own clothes on him and led him away to crucify him. 
Mt 27:32	As they went out, they found a man of Cyrene, Simon by name. They compelled this man to carry his cross. 
Mt 27:33	And when they came to a place called Golgotha (which means Place of a Skull), 
Mt 27:34	they offered him wine to drink, mixed with gall, but when he tasted it, he would not drink it. 
Mt 27:35	And when they had crucified him, they divided his garments among them by casting lots. 
Mt 27:36	Then they sat down and kept watch over him there. 
Mt 27:37	And over his head they put the charge against him, which read, “This is Jesus, the King of the Jews.” 
Mt 27:38	Then two robbers were crucified with him, one on the right and one on the left. 
Mt 27:39	And those who passed by derided him, wagging their heads 
Mt 27:40	and saying, “You who would destroy the temple and rebuild it in three days, save yourself! If you are the Son of God, come down from the cross.” 
Mt 27:41	So also the chief priests, with the scribes and elders, mocked him, saying, 
Mt 27:42	“He saved others; he cannot save himself. He is the King of Israel; let him come down now from the cross, and we will believe in him. 
Mt 27:43	He trusts in God; let God deliver him now, if he desires him. For he said, ‘I am the Son of God.’ ” 
Mt 27:44	And the robbers who were crucified with him also reviled him in the same way. 
Mt 27:45	Now from the sixth hour there was darkness over all the land until the ninth hour. 
Mt 27:46	And about the ninth hour Jesus cried out with a loud voice, saying, “Eli, Eli, lema sabachthani?” that is, “My God, my God, why have you forsaken me?” 
Mt 27:47	And some of the bystanders, hearing it, said, “This man is calling Elijah.” 
Mt 27:48	And one of them at once ran and took a sponge, filled it with sour wine, and put it on a reed and gave it to him to drink. 
Mt 27:49	But the others said, “Wait, let us see whether Elijah will come to save him.” 
Mt 27:50	And Jesus cried out again with a loud voice and yielded up his spirit. 
Mt 27:51	And behold, the curtain of the temple was torn in two, from top to bottom. And the earth shook, and the rocks were split. 
Mt 27:52	The tombs also were opened. And many bodies of the saints who had fallen asleep were raised, 
Mt 27:53	and coming out of the tombs after his resurrection they went into the holy city and appeared to many. 
Mt 27:54	When the centurion and those who were with him, keeping watch over Jesus, saw the earthquake and what took place, they were filled with awe and said, “Truly this was the Son of God!” 
Mt 27:55	There were also many women there, looking on from a distance, who had followed Jesus from Galilee, ministering to him, 
Mt 27:56	among whom were Mary Magdalene and Mary the mother of James and Joseph and the mother of the sons of Zebedee. 
Mt 27:57	When it was evening, there came a rich man from Arimathea, named Joseph, who also was a disciple of Jesus. 
Mt 27:58	He went to Pilate and asked for the body of Jesus. Then Pilate ordered it to be given to him. 
Mt 27:59	And Joseph took the body and wrapped it in a clean linen shroud 
Mt 27:60	and laid it in his own new tomb, which he had cut in the rock. And he rolled a great stone to the entrance of the tomb and went away. 
Mt 27:61	Mary Magdalene and the other Mary were there, sitting opposite the tomb. 
Mt 27:62	The next day, that is, after the day of Preparation, the chief priests and the Pharisees gathered before Pilate 
Mt 27:63	and said, “Sir, we remember how that impostor said, while he was still alive, ‘After three days I will rise.’ 
Mt 27:64	Therefore order the tomb to be made secure until the third day, lest his disciples go and steal him away and tell the people, ‘He has risen from the dead,’ and the last fraud will be worse than the first.” 
Mt 27:65	Pilate said to them, “You have a guard of soldiers. Go, make it as secure as you can.” 
Mt 27:66	So they went and made the tomb secure by sealing the stone and setting a guard. 
Mt 28:1	Now after the Sabbath, toward the dawn of the first day of the week, Mary Magdalene and the other Mary went to see the tomb. 
Mt 28:2	And behold, there was a great earthquake, for an angel of the Lord descended from heaven and came and rolled back the stone and sat on it. 
Mt 28:3	His appearance was like lightning, and his clothing white as snow. 
Mt 28:4	And for fear of him the guards trembled and became like dead men. 
Mt 28:5	But the angel said to the women, “Do not be afraid, for I know that you seek Jesus who was crucified. 
Mt 28:6	He is not here, for he has risen, as he said. Come, see the place where he lay. 
Mt 28:7	Then go quickly and tell his disciples that he has risen from the dead, and behold, he is going before you to Galilee; there you will see him. See, I have told you.” 
Mt 28:8	So they departed quickly from the tomb with fear and great joy, and ran to tell his disciples. 
Mt 28:9	And behold, Jesus met them and said, “Greetings!” And they came up and took hold of his feet and worshiped him. 
Mt 28:10	Then Jesus said to them, “Do not be afraid; go and tell my brothers to go to Galilee, and there they will see me.” 
Mt 28:11	While they were going, behold, some of the guard went into the city and told the chief priests all that had taken place. 
Mt 28:12	And when they had assembled with the elders and taken counsel, they gave a sufficient sum of money to the soldiers 
Mt 28:13	and said, “Tell people, ‘His disciples came by night and stole him away while we were asleep.’ 
Mt 28:14	And if this comes to the governor’s ears, we will satisfy him and keep you out of trouble.” 
Mt 28:15	So they took the money and did as they were directed. And this story has been spread among the Jews to this day. 
Mt 28:16	Now the eleven disciples went to Galilee, to the mountain to which Jesus had directed them. 
Mt 28:17	And when they saw him they worshiped him, but some doubted. 
Mt 28:18	And Jesus came and said to them, “All authority in heaven and on earth has been given to me. 
Mt 28:19	Go therefore and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit, 
Mt 28:20	teaching them to observe all that I have commanded you. And behold, I am with you always, to the end of the age.” 
Ga 1:1	Paul, an apostle—not from men nor through man, but through Jesus Christ and God the Father, who raised him from the dead— 
Ga 1:2	and all the brothers who are with me, To the churches of Galatia: 
Ga 1:3	Grace to you and peace from God our Father and the Lord Jesus Christ, 
Ga 1:4	who gave himself for our sins to deliver us from the present evil age, according to the will of our God and Father, 
Ga 1:5	to whom be the glory forever and ever. Amen. 
Ga 1:6	I am astonished that you are so quickly deserting him who called you in the grace of Christ and are turning to a different gospel— 
Ga 1:7	not that there is another one, but there are some who trouble you and want to distort the gospel of Christ. 
Ga 1:8	But even if we or an angel from heaven should preach to you a gospel contrary to the one we preached to you, let him be accursed. 
Ga 1:9	As we have said before, so now I say again: If anyone is preaching to you a gospel contrary to the one you received, let him be accursed. 
Ga 1:10	For am I now seeking the approval of man, or of God? Or am I trying to please man? If I were still trying to please man, I would not be a servant of Christ. 
Ga 1:11	For I would have you know, brothers, that the gospel that was preached by me is not man’s gospel. 
Ga 1:12	For I did not receive it from any man, nor was I taught it, but I received it through a revelation of Jesus Christ. 
Ga 1:13	For you have heard of my former life in Judaism, how I persecuted the church of God violently and tried to destroy it. 
Ga 1:14	And I was advancing in Judaism beyond many of my own age among my people, so extremely zealous was I for the traditions of my fathers. 
Ga 1:15	But when he who had set me apart before I was born, and who called me by his grace, 
Ga 1:16	was pleased to reveal his Son to me, in order that I might preach him among the Gentiles, I did not immediately consult with anyone; 
Ga 1:17	nor did I go up to Jerusalem to those who were apostles before me, but I went away into Arabia, and returned again to Damascus. 
Ga 1:18	Then after three years I went up to Jerusalem to visit Cephas and remained with him fifteen days. 
Ga 1:19	But I saw none of the other apostles except James the Lord’s brother. 
Ga 1:20	(In what I am writing to you, before God, I do not lie!) 
Ga 1:21	Then I went into the regions of Syria and Cilicia. 
Ga 1:22	And I was still unknown in person to the churches of Judea that are in Christ. 
Ga 1:23	They only were hearing it said, “He who used to persecute us is now preaching the faith he once tried to destroy.” 
Ga 1:24	And they glorified God because of me. 
Ga 2:1	Then after fourteen years I went up again to Jerusalem with Barnabas, taking Titus along with me. 
Ga 2:2	I went up because of a revelation and set before them (though privately before those who seemed influential) the gospel that I proclaim among the Gentiles, in order to make sure I was not running or had not run in vain. 
Ga 2:3	But even Titus, who was with me, was not forced to be circumcised, though he was a Greek. 
Ga 2:4	Yet because of false brothers secretly brought in—who slipped in to spy out our freedom that we have in Christ Jesus, so that they might bring us into slavery— 
Ga 2:5	to them we did not yield in submission even for a moment, so that the truth of the gospel might be preserved for you. 
Ga 2:6	And from those who seemed to be influential (what they were makes no difference to me; God shows no partiality)—those, I say, who seemed influential added nothing to me. 
Ga 2:7	On the contrary, when they saw that I had been entrusted with the gospel to the uncircumcised, just as Peter had been entrusted with the gospel to the circumcised 
Ga 2:8	(for he who worked through Peter for his apostolic ministry to the circumcised worked also through me for mine to the Gentiles), 
Ga 2:9	and when James and Cephas and John, who seemed to be pillars, perceived the grace that was given to me, they gave the right hand of fellowship to Barnabas and me, that we should go to the Gentiles and they to the circumcised. 
Ga 2:10	Only, they asked us to remember the poor, the very thing I was eager to do. 
Ga 2:11	But when Cephas came to Antioch, I opposed him to his face, because he stood condemned. 
Ga 2:12	For before certain men came from James, he was eating with the Gentiles; but when they came he drew back and separated himself, fearing the circumcision party. 
Ga 2:13	And the rest of the Jews acted hypocritically along with him, so that even Barnabas was led astray by their hypocrisy. 
Ga 2:14	But when I saw that their conduct was not in step with the truth of the gospel, I said to Cephas before them all, “If you, though a Jew, live like a Gentile and not like a Jew, how can you force the Gentiles to live like Jews?” 
Ga 2:15	We ourselves are Jews by birth and not Gentile sinners; 
Ga 2:16	yet we know that a person is not justified by works of the law but through faith in Jesus Christ, so we also have believed in Christ Jesus, in order to be justified by faith in Christ and not by works of the law, because by works of the law no one will be justified. 
Ga 2:17	But if, in our endeavor to be justified in Christ, we too were found to be sinners, is Christ then a servant of sin? Certainly not! 
Ga 2:18	For if I rebuild what I tore down, I prove myself to be a transgressor. 
Ga 2:19	For through the law I died to the law, so that I might live to God. 
Ga 2:20	I have been crucified with Christ. It is no longer I who live, but Christ who lives in me. And the life I now live in the flesh I live by faith in the Son of God, who loved me and gave himself for me. 
Ga 2:21	I do not nullify the grace of God, for if righteousness were through the law, then Christ died for no purpose. 
Ga 3:1	O foolish Galatians! Who has bewitched you? It was before your eyes that Jesus Christ was publicly portrayed as crucified. 
Ga 3:2	Let me ask you only this: Did you receive the Spirit by works of the law or by hearing with faith? 
Ga 3:3	Are you so foolish? Having begun by the Spirit, are you now being perfected by the flesh? 
Ga 3:4	Did you suffer so many things in vain—if indeed it was in vain? 
Ga 3:5	Does he who supplies the Spirit to you and works miracles among you do so by works of the law, or by hearing with faith— 
Ga 3:6	just as Abraham “believed God, and it was counted to him as righteousness”? 
Ga 3:7	Know then that it is those of faith who are the sons of Abraham. 
Ga 3:8	And the Scripture, foreseeing that God would justify the Gentiles by faith, preached the gospel beforehand to Abraham, saying, “In you shall all the nations be blessed.” 
Ga 3:9	So then, those who are of faith are blessed along with Abraham, the man of faith. 
Ga 3:10	For all who rely on works of the law are under a curse; for it is written, “Cursed be everyone who does not abide by all things written in the Book of the Law, and do them.” 
Ga 3:11	Now it is evident that no one is justified before God by the law, for “The righteous shall live by faith.” 
Ga 3:12	But the law is not of faith, rather “The one who does them shall live by them.” 
Ga 3:13	Christ redeemed us from the curse of the law by becoming a curse for us—for it is written, “Cursed is everyone who is hanged on a tree”— 
Ga 3:14	so that in Christ Jesus the blessing of Abraham might come to the Gentiles, so that we might receive the promised Spirit through faith. 
Ga 3:15	To give a human example, brothers: even with a man-made covenant, no one annuls it or adds to it once it has been ratified. 
Ga 3:16	Now the promises were made to Abraham and to his offspring. It does not say, “And to offsprings,” referring to many, but referring to one, “And to your offspring,” who is Christ. 
Ga 3:17	This is what I mean: the law, which came 430 years afterward, does not annul a covenant previously ratified by God, so as to make the promise void. 
Ga 3:18	For if the inheritance comes by the law, it no longer comes by promise; but God gave it to Abraham by a promise. 
Ga 3:19	Why then the law? It was added because of transgressions, until the offspring should come to whom the promise had been made, and it was put in place through angels by an intermediary. 
Ga 3:20	Now an intermediary implies more than one, but God is one. 
Ga 3:21	Is the law then contrary to the promises of God? Certainly not! For if a law had been given that could give life, then righteousness would indeed be by the law. 
Ga 3:22	But the Scripture imprisoned everything under sin, so that the promise by faith in Jesus Christ might be given to those who believe. 
Ga 3:23	Now before faith came, we were held captive under the law, imprisoned until the coming faith would be revealed. 
Ga 3:24	So then, the law was our guardian until Christ came, in order that we might be justified by faith. 
Ga 3:25	But now that faith has come, we are no longer under a guardian, 
Ga 3:26	for in Christ Jesus you are all sons of God, through faith. 
Ga 3:27	For as many of you as were baptized into Christ have put on Christ. 
Ga 3:28	There is neither Jew nor Greek, there is neither slave nor free, there is no male and female, for you are all one in Christ Jesus. 
Ga 3:29	And if you are Christ’s, then you are Abraham’s offspring, heirs according to promise. 
Ga 4:1	I mean that the heir, as long as he is a child, is no different from a slave, though he is the owner of everything, 
Ga 4:2	but he is under guardians and managers until the date set by his father. 
Ga 4:3	In the same way we also, when we were children, were enslaved to the elementary principles of the world. 
Ga 4:4	But when the fullness of time had come, God sent forth his Son, born of woman, born under the law, 
Ga 4:5	to redeem those who were under the law, so that we might receive adoption as sons. 
Ga 4:6	And because you are sons, God has sent the Spirit of his Son into our hearts, crying, “Abba! Father!” 
Ga 4:7	So you are no longer a slave, but a son, and if a son, then an heir through God. 
Ga 4:8	Formerly, when you did not know God, you were enslaved to those that by nature are not gods. 
Ga 4:9	But now that you have come to know God, or rather to be known by God, how can you turn back again to the weak and worthless elementary principles of the world, whose slaves you want to be once more? 
Ga 4:10	You observe days and months and seasons and years! 
Ga 4:11	I am afraid I may have labored over you in vain. 
Ga 4:12	Brothers, I entreat you, become as I am, for I also have become as you are. You did me no wrong. 
Ga 4:13	You know it was because of a bodily ailment that I preached the gospel to you at first, 
Ga 4:14	and though my condition was a trial to you, you did not scorn or despise me, but received me as an angel of God, as Christ Jesus. 
Ga 4:15	What then has become of your blessedness? For I testify to you that, if possible, you would have gouged out your eyes and given them to me. 
Ga 4:16	Have I then become your enemy by telling you the truth? 
Ga 4:17	They make much of you, but for no good purpose. They want to shut you out, that you may make much of them. 
Ga 4:18	It is always good to be made much of for a good purpose, and not only when I am present with you, 
Ga 4:19	my little children, for whom I am again in the anguish of childbirth until Christ is formed in you! 
Ga 4:20	I wish I could be present with you now and change my tone, for I am perplexed about you. 
Ga 4:21	Tell me, you who desire to be under the law, do you not listen to the law? 
Ga 4:22	For it is written that Abraham had two sons, one by a slave woman and one by a free woman. 
Ga 4:23	But the son of the slave was born according to the flesh, while the son of the free woman was born through promise. 
Ga 4:24	Now this may be interpreted allegorically: these women are two covenants. One is from Mount Sinai, bearing children for slavery; she is Hagar. 
Ga 4:25	Now Hagar is Mount Sinai in Arabia; she corresponds to the present Jerusalem, for she is in slavery with her children. 
Ga 4:26	But the Jerusalem above is free, and she is our mother. 
Ga 4:27	For it is written, “Rejoice, O barren one who does not bear; break forth and cry aloud, you who are not in labor!  For the children of the desolate one will be more than those of the one who has a husband.” 
Ga 4:28	Now you, brothers, like Isaac, are children of promise. 
Ga 4:29	But just as at that time he who was born according to the flesh persecuted him who was born according to the Spirit, so also it is now. 
Ga 4:30	But what does the Scripture say? “Cast out the slave woman and her son, for the son of the slave woman shall not inherit with the son of the free woman.” 
Ga 4:31	So, brothers, we are not children of the slave but of the free woman. 
Ga 5:1	For freedom Christ has set us free; stand firm therefore, and do not submit again to a yoke of slavery. 
Ga 5:2	Look: I, Paul, say to you that if you accept circumcision, Christ will be of no advantage to you. 
Ga 5:3	I testify again to every man who accepts circumcision that he is obligated to keep the whole law. 
Ga 5:4	You are severed from Christ, you who would be justified by the law; you have fallen away from grace. 
Ga 5:5	For through the Spirit, by faith, we ourselves eagerly wait for the hope of righteousness. 
Ga 5:6	For in Christ Jesus neither circumcision nor uncircumcision counts for anything, but only faith working through love. 
Ga 5:7	You were running well. Who hindered you from obeying the truth? 
Ga 5:8	This persuasion is not from him who calls you. 
Ga 5:9	A little leaven leavens the whole lump. 
Ga 5:10	I have confidence in the Lord that you will take no other view, and the one who is troubling you will bear the penalty, whoever he is. 
Ga 5:11	But if I, brothers, still preach circumcision, why am I still being persecuted? In that case the offense of the cross has been removed. 
Ga 5:12	I wish those who unsettle you would emasculate themselves! 
Ga 5:13	For you were called to freedom, brothers. Only do not use your freedom as an opportunity for the flesh, but through love serve one another. 
Ga 5:14	For the whole law is fulfilled in one word: “You shall love your neighbor as yourself.” 
Ga 5:15	But if you bite and devour one another, watch out that you are not consumed by one another. 
Ga 5:16	But I say, walk by the Spirit, and you will not gratify the desires of the flesh. 
Ga 5:17	For the desires of the flesh are against the Spirit, and the desires of the Spirit are against the flesh, for these are opposed to each other, to keep you from doing the things you want to do. 
Ga 5:18	But if you are led by the Spirit, you are not under the law. 
Ga 5:19	Now the works of the flesh are evident: sexual immorality, impurity, sensuality, 
Ga 5:20	idolatry, sorcery, enmity, strife, jealousy, fits of anger, rivalries, dissensions, divisions, 
Ga 5:21	envy, drunkenness, orgies, and things like these. I warn you, as I warned you before, that those who do such things will not inherit the kingdom of God. 
Ga 5:22	But the fruit of the Spirit is love, joy, peace, patience, kindness, goodness, faithfulness, 
Ga 5:23	gentleness, self-control; against such things there is no law. 
Ga 5:24	And those who belong to Christ Jesus have crucified the flesh with its passions and desires. 
Ga 5:25	If we live by the Spirit, let us also keep in step with the Spirit. 
Ga 5:26	Let us not become conceited, provoking one another, envying one another. 
Ga 6:1	Brothers, if anyone is caught in any transgression, you who are spiritual should restore him in a spirit of gentleness. Keep watch on yourself, lest you too be tempted. 
Ga 6:2	Bear one another’s burdens, and so fulfill the law of Christ. 
Ga 6:3	For if anyone thinks he is something, when he is nothing, he deceives himself. 
Ga 6:4	But let each one test his own work, and then his reason to boast will be in himself alone and not in his neighbor. 
Ga 6:5	For each will have to bear his own load. 
Ga 6:6	Let the one who is taught the word share all good things with the one who teaches. 
Ga 6:7	Do not be deceived: God is not mocked, for whatever one sows, that will he also reap. 
Ga 6:8	For the one who sows to his own flesh will from the flesh reap corruption, but the one who sows to the Spirit will from the Spirit reap eternal life. 
Ga 6:9	And let us not grow weary of doing good, for in due season we will reap, if we do not give up. 
Ga 6:10	So then, as we have opportunity, let us do good to everyone, and especially to those who are of the household of faith. 
Ga 6:11	See with what large letters I am writing to you with my own hand. 
Ga 6:12	It is those who want to make a good showing in the flesh who would force you to be circumcised, and only in order that they may not be persecuted for the cross of Christ. 
Ga 6:13	For even those who are circumcised do not themselves keep the law, but they desire to have you circumcised that they may boast in your flesh. 
Ga 6:14	But far be it from me to boast except in the cross of our Lord Jesus Christ, by which the world has been crucified to me, and I to the world. 
Ga 6:15	For neither circumcision counts for anything, nor uncircumcision, but a new creation. 
