Result	Lemma	Gender	Case	Tense	Voice	Mood	Person	Number	Gloss	Part	Chapter	Adverb/particle Type	Reference	Sense	Pronoun Type
Δαυὶδ	Δαυίδ	masculine	nominative	-	-	-	-	singular	-	noun, indeclinable	-	-	Mt 1:6,Mt 12:3,Mt 22:43,Mt 22:45,Mk 2:25,Mk 12:36,Mk 12:37,Lk 6:3,Lk 20:42,Lk 20:44,Jn 7:42,Ac 2:25,Ac 2:34,Ac 13:36,Ro 4:6,Ro 11:9	-	-
Δαυὶδ	Δαυίδ	masculine	accusative	-	-	-	-	singular	-	noun, indeclinable	-	-	Mt 1:6,Ac 13:22,Ac 13:22	-	-
Ζαχαρία	Ζαχαρίας	masculine	vocative	-	-	-	-	singular	-	noun	-	-	Lk 1:13	-	-
Ζαχαρίαν	Ζαχαρίας	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Lk 1:21,Lk 1:59	-	-
Ζαχαρίας	Ζαχαρίας	masculine	nominative	-	-	-	-	singular	-	noun	-	-	Lk 1:5,Lk 1:12,Lk 1:18,Lk 1:67	-	-
Ζαχαρίου	Ζαχαρίας	masculine	genitive	-	-	-	-	singular	-	noun	-	-	Mt 23:35,Lk 1:40,Lk 3:2,Lk 11:51	-	-
Ζεβεδαίου	Ζεβεδαῖος	masculine	genitive	-	-	-	-	singular	-	noun	-	-	Mt 4:21,Mt 4:21,Mt 10:2,Mt 20:20,Mt 26:37,Mt 27:56,Mk 1:19,Mk 3:17,Mk 10:35,Lk 5:10,Jn 21:2	-	-
Ζεβεδαῖον	Ζεβεδαῖος	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Mk 1:20	-	-
Καϊάφα	Καϊάφας	masculine	genitive	-	-	-	-	singular	-	noun	-	-	Mt 26:3,Lk 3:2,Jn 18:13,Jn 18:28	-	-
Καϊάφαν	Καϊάφας	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Mt 26:57,Jn 18:24	-	-
Καϊάφας	Καϊάφας	masculine	nominative	-	-	-	-	singular	-	noun	-	-	Jn 11:49,Jn 18:14,Ac 4:6	-	-
Καίσαρά	Καῖσαρ	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Ac 25:8	-	-
Καίσαρί	Καῖσαρ	masculine	dative	-	-	-	-	singular	-	noun	-	-	Ac 27:24	-	-
Καίσαρα	Καῖσαρ	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Jn 19:15,Ac 25:11,Ac 25:12,Ac 25:12,Ac 25:21,Ac 26:32,Ac 28:19	-	-
Καίσαρι	Καῖσαρ	masculine	dative	-	-	-	-	singular	-	noun	-	-	Mt 22:17,Mt 22:21,Mk 12:14,Mk 12:17,Lk 20:22,Lk 20:25,Lk 23:2,Jn 19:12	-	-
Καίσαρος	Καῖσαρ	masculine	genitive	-	-	-	-	singular	-	noun	-	-	Mt 22:21,Mt 22:21,Mk 12:16,Mk 12:17,Lk 2:1,Lk 3:1,Lk 20:24,Lk 20:25,Jn 19:12,Ac 17:7,Ac 25:10,Php 4:22	-	-
Κλήμεντος	Κλήμης	masculine	genitive	-	-	-	-	singular	-	noun	-	-	Php 4:3	-	-
Μάρθα	Μάρθα	feminine	nominative	-	-	-	-	singular	-	noun	-	-	Lk 10:38,Lk 10:40,Jn 11:20,Jn 11:21,Jn 11:24,Jn 11:30,Jn 11:39,Jn 12:2	-	-
Μάρθα	Μάρθα	feminine	vocative	-	-	-	-	singular	-	noun	-	-	Lk 10:41,Lk 10:41	-	-
Μάρθαν	Μάρθα	feminine	accusative	-	-	-	-	singular	-	noun	-	-	Jn 11:5,Jn 11:19	-	-
Μάρθας	Μάρθα	feminine	genitive	-	-	-	-	singular	-	noun	-	-	Jn 11:1	-	-
Μαγδαληνή	Μαγδαληνή	feminine	nominative	-	-	-	-	singular	-	noun	-	-	Lk 8:2,Jn 19:25	-	-
Μαγδαληνὴ	Μαγδαληνή	feminine	nominative	-	-	-	-	singular	-	noun	-	-	Mt 27:56,Mt 27:61,Mt 28:1,Mk 15:40,Mk 15:47,Mk 16:1,Lk 24:10,Jn 20:1,Jn 20:18	-	-
Μαγδαληνῇ	Μαγδαληνή	feminine	dative	-	-	-	-	singular	-	noun	-	-	Mk 16:9	-	-
Μακεδονία	Μακεδονία	feminine	nominative	-	-	-	-	singular	-	noun	-	-	Ro 15:26	-	-
Μακεδονίαν	Μακεδονία	feminine	accusative	-	-	-	-	singular	-	noun	-	-	Ac 16:9,Ac 16:10,Ac 19:21,Ac 19:22,Ac 20:1,1 Co 16:5,1 Co 16:5,2 Co 1:16,2 Co 2:13,2 Co 7:5,1 Ti 1:3	-	-
Μακεδονίας	Μακεδονία	feminine	genitive	-	-	-	-	singular	-	noun	-	-	Ac 16:12,Ac 18:5,Ac 20:3,2 Co 1:16,2 Co 8:1,2 Co 11:9,Php 4:15	-	-
Μακεδονίᾳ	Μακεδονία	feminine	dative	-	-	-	-	singular	-	noun	-	-	1 Th 1:7,1 Th 1:8,1 Th 4:10	-	-
Μαρία	Μαρία	feminine	nominative	-	-	-	-	singular	-	noun	-	-	Mt 27:56,Mt 27:56,Mt 27:61,Mt 28:1,Mk 15:40,Mk 15:40,Mk 15:47,Mk 15:47,Mk 16:1,Mk 16:1,Lk 8:2,Lk 24:10,Lk 24:10,Jn 19:25,Jn 19:25,Jn 20:1,Jn 20:11	-	-
Μαρίαν	Μαρία	feminine	accusative	-	-	-	-	singular	-	noun	-	-	Mt 1:20,Ro 16:6	-	-
Μαρίας	Μαρία	feminine	genitive	-	-	-	-	singular	-	noun	-	-	Mt 1:16,Mt 1:18,Mt 2:11,Mk 6:3,Lk 1:41,Jn 11:1,Ac 12:12	-	-
Μαρίᾳ	Μαρία	feminine	dative	-	-	-	-	singular	-	noun	-	-	Mk 16:9	-	-
Μαριάμ	Μαριάμ	feminine	vocative	-	-	-	-	singular	-	noun, indeclinable	-	-	Lk 1:30,Jn 20:16	-	-
Μαριάμ	Μαριάμ	feminine	nominative	-	-	-	-	singular	-	noun, indeclinable	-	-	Lk 1:27,Lk 1:38,Lk 1:46,Lk 10:39	-	-
Μαριὰμ	Μαριάμ	feminine	accusative	-	-	-	-	singular	-	noun, indeclinable	-	-	Lk 2:16,Lk 2:34,Jn 11:19,Jn 11:28,Jn 11:31,Jn 11:45	-	-
Μαριὰμ	Μαριάμ	feminine	dative	-	-	-	-	singular	-	noun, indeclinable	-	-	Lk 2:5,Ac 1:14	-	-
Μαριὰμ	Μαριάμ	feminine	nominative	-	-	-	-	singular	-	noun, indeclinable	-	-	Mt 13:55,Mt 27:61,Mt 28:1,Lk 1:34,Lk 1:39,Lk 1:56,Lk 2:19,Lk 10:42,Jn 11:2,Jn 11:20,Jn 11:32,Jn 12:3,Jn 20:18	-	-
Μελχισέδεκ	Μελχισέδεκ	masculine	nominative	-	-	-	-	singular	-	noun, indeclinable	-	-	Heb 7:1,Heb 7:10	-	-
Μελχισέδεκ	Μελχισέδεκ	masculine	genitive	-	-	-	-	singular	-	noun, indeclinable	-	-	Heb 5:6,Heb 5:10,Heb 6:20,Heb 7:11,Heb 7:15,Heb 7:17	-	-
Μωϋσέα	Μωϋσῆς	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Lk 16:29	Tanakh ⇔ law, Torah ⇔ Moses	-
Μωϋσέως	Μωϋσῆς	masculine	genitive	-	-	-	-	singular	-	noun	-	-	Lk 24:44	scripture ⇔ the Law of Moses and the Prophets and the Psalms	-
Μωϋσέως	Μωϋσῆς	masculine	genitive	-	-	-	-	singular	-	noun	-	-	Lk 16:31	Tanakh ⇔ law, Torah ⇔ Moses	-
Μωϋσέως	Μωϋσῆς	masculine	genitive	-	-	-	-	singular	-	noun	-	-	Mt 23:2,Mk 12:26,Lk 2:22,Jn 1:17,Jn 7:22,Jn 7:23,Jn 9:28,Ac 13:38,Ac 15:1,Ac 15:5,Ac 21:21,Ac 28:23,Ro 5:14,1 Co 9:9,2 Co 3:7,Heb 3:16,Heb 9:19,Jud 9,Re 15:3	-	-
Μωϋσέως	Μωϋσῆς	masculine	genitive	-	-	-	-	singular	-	noun	-	-	Heb 10:28	Mosaic law system	-
Μωϋσέως	Μωϋσῆς	masculine	genitive	-	-	-	-	singular	-	noun	-	-	Lk 24:27	Torah ⇔ Moses	-
Μωϋσεῖ	Μωϋσῆς	masculine	dative	-	-	-	-	singular	-	noun	-	-	Mt 17:4,Mk 9:4,Mk 9:5,Lk 9:33,Jn 5:46,Jn 9:29,Ro 9:15,2 Ti 3:8	-	-
Μωϋσῆν	Μωϋσῆς	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Ac 6:11,Ac 7:35,Heb 3:3	-	-
Μωϋσῆν	Μωϋσῆς	masculine	accusative	-	-	-	-	singular	-	noun	-	-	1 Co 10:2	Mosaic law system ⇔ Moses	-
Μωϋσῆς	Μωϋσῆς	masculine	nominative	-	-	-	-	singular	-	noun	-	-	2 Co 3:15	Torah ⇔ Moses	-
Μωϋσῆς	Μωϋσῆς	masculine	nominative	-	-	-	-	singular	-	noun	-	-	Mt 8:4,Mt 17:3,Mt 19:7,Mt 19:8,Mt 22:24,Mk 1:44,Mk 7:10,Mk 10:3,Mk 10:4,Mk 12:19,Lk 5:14,Lk 9:30,Lk 20:28,Lk 20:37,Jn 1:45,Jn 3:14,Jn 5:45,Jn 6:32,Jn 7:19,Jn 7:22,Jn 8:5,Ac 3:22,Ac 6:14,Ac 7:20,Ac 7:22,Ac 7:29,Ac 7:31,Ac 7:32,Ac 7:37,Ac 7:40,Ac 15:21,Ac 26:22,Ro 10:5,Ro 10:19,2 Co 3:13,Heb 3:2,Heb 3:5,Heb 7:14,Heb 8:5,Heb 11:23,Heb 11:24,Heb 12:21	-	-
Μωϋσῇ	Μωϋσῆς	masculine	dative	-	-	-	-	singular	-	noun	-	-	Ac 7:44	-	-
Ναζαρέθ	Ναζαρέθ	feminine	accusative	-	-	-	-	singular	-	noun, indeclinable	-	-	Lk 2:39	-	-
Ναζαρέθ	Ναζαρέθ	feminine	genitive	-	-	-	-	singular	-	noun, indeclinable	-	-	Ac 10:38	-	-
Ναζαρὲθ	Ναζαρέθ	feminine	accusative	-	-	-	-	singular	-	noun, indeclinable	-	-	Lk 2:51	-	-
Ναζαρὲθ	Ναζαρέθ	feminine	nominative	-	-	-	-	singular	-	noun, indeclinable	-	-	Lk 1:26	-	-
Ναζαρὲθ	Ναζαρέθ	feminine	genitive	-	-	-	-	singular	-	noun, indeclinable	-	-	Mt 21:11,Lk 2:4	-	-
Πέτρε	Πέτρος	masculine	vocative	-	-	-	-	singular	-	noun	-	-	Lk 22:34,Ac 10:13,Ac 11:7	-	-
Πέτρον	Πέτρος	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Mt 4:18,Mt 17:1,Mt 26:37,Mk 3:16,Mk 5:37,Mk 9:2,Mk 14:33,Mk 14:67,Mk 16:8,Lk 6:14,Lk 8:51,Lk 9:28,Lk 22:8,Jn 13:6,Jn 18:16,Jn 20:2,Ac 2:37,Ac 3:3,Ac 3:11,Ac 8:14,Ac 9:32,Ac 9:40,Ac 10:25,Ac 11:13,Ac 12:3,Ac 12:14	-	-
Πέτρος	Πέτρος	masculine	nominative	-	-	-	-	singular	-	noun	-	-	Mt 10:2,Mt 14:28,Mt 14:29,Mt 15:15,Mt 16:16,Mt 16:18,Mt 16:22,Mt 17:4,Mt 18:21,Mt 19:27,Mt 26:33,Mt 26:35,Mt 26:58,Mt 26:69,Mt 26:75,Mk 8:29,Mk 8:32,Mk 9:5,Mk 10:28,Mk 11:21,Mk 13:3,Mk 14:29,Mk 14:54,Mk 14:72,Lk 5:8,Lk 8:45,Lk 9:20,Lk 9:32,Lk 9:33,Lk 12:41,Lk 18:28,Lk 22:54,Lk 22:55,Lk 22:58,Lk 22:60,Lk 22:61,Lk 24:12,Jn 1:42,Jn 6:68,Jn 13:8,Jn 13:9,Jn 13:24,Jn 13:36,Jn 13:37,Jn 18:10,Jn 18:15,Jn 18:16,Jn 18:18,Jn 18:25,Jn 18:26,Jn 18:27,Jn 20:3,Jn 20:6,Jn 21:2,Jn 21:3,Jn 21:7,Jn 21:11,Jn 21:17,Jn 21:20,Jn 21:21,Ac 1:13,Ac 1:15,Ac 2:14,Ac 2:38,Ac 3:1,Ac 3:4,Ac 3:6,Ac 3:12,Ac 4:8,Ac 4:19,Ac 5:3,Ac 5:8,Ac 5:9,Ac 5:29,Ac 8:20,Ac 9:34,Ac 9:38,Ac 9:39,Ac 9:40,Ac 10:5,Ac 10:9,Ac 10:14,Ac 10:17,Ac 10:18,Ac 10:21,Ac 10:26,Ac 10:32,Ac 10:34,Ac 10:46,Ac 11:2,Ac 11:4,Ac 12:5,Ac 12:6,Ac 12:11,Ac 12:16,Ac 12:18,Ac 15:7,Ga 2:7,1 Pe 1:1,2 Pe 1:1	-	-
Πέτρου	Πέτρος	masculine	genitive	-	-	-	-	singular	-	noun	-	-	Mt 8:14,Mk 14:66,Jn 1:40,Jn 1:44,Jn 6:8,Jn 20:4,Ac 4:13,Ac 5:15,Ac 10:19,Ac 10:44,Ac 12:7,Ac 12:14	-	-
Πέτρῳ	Πέτρος	masculine	dative	-	-	-	-	singular	-	noun	-	-	Mt 16:23,Mt 17:24,Mt 26:40,Mt 26:73,Mk 8:33,Mk 14:37,Mk 14:70,Mk 16:7,Lk 22:61,Jn 18:11,Jn 18:17,Jn 21:7,Jn 21:15,Ac 10:45,Ga 2:8	-	-
Παύλου	Παῦλος	masculine	genitive	-	-	-	-	singular	-	noun	-	-	Ac 13:45,Ac 14:9,Ac 15:12,Ac 16:14,Ac 17:13,Ac 17:16,Ac 18:14,Ac 19:6,Ac 19:11,Ac 19:29,Ac 19:30,Ac 20:9,Ac 20:37,Ac 21:11,Ac 21:30,Ac 23:16,Ac 24:1,Ac 24:26,Ac 25:2,Ac 25:8,Ac 25:21,Ac 27:11,Ac 28:3,Ac 28:25,1 Co 1:12,1 Co 1:13,1 Co 3:4,1 Co 16:21,Col 4:18,2 Th 3:17	-	-
Παύλῳ	Παῦλος	masculine	dative	-	-	-	-	singular	-	noun	-	-	Ac 13:7,Ac 13:43,Ac 15:2,Ac 15:22,Ac 15:25,Ac 16:9,Ac 16:17,Ac 16:29,Ac 17:2,Ac 17:4,Ac 18:9,Ac 18:12,Ac 21:4,Ac 23:16,Ac 25:9,Ac 27:3,Ac 28:16	-	-
Παῦλε	Παῦλος	masculine	vocative	-	-	-	-	singular	-	noun	-	-	Ac 26:24,Ac 27:24	-	-
Παῦλον	Παῦλος	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Ac 13:13,Ac 13:50,Ac 14:12,Ac 14:19,Ac 15:2,Ac 16:19,Ac 16:36,Ac 17:10,Ac 17:14,Ac 17:15,Ac 19:1,Ac 19:15,Ac 20:13,Ac 21:32,Ac 22:30,Ac 23:12,Ac 23:14,Ac 23:20,Ac 23:24,Ac 23:31,Ac 23:33,Ac 24:24,Ac 24:27,Ac 25:4,Ac 25:6,Ac 25:14,Ac 26:1,Ac 26:28,Ac 27:1,Ac 27:43	-	-
Παῦλος	Παῦλος	masculine	nominative	-	-	-	-	singular	-	noun	-	-	Ac 13:9,Ac 13:16,Ac 13:46,Ac 14:11,Ac 14:14,Ac 15:35,Ac 15:36,Ac 15:38,Ac 15:40,Ac 16:3,Ac 16:18,Ac 16:25,Ac 16:28,Ac 16:37,Ac 17:22,Ac 17:33,Ac 18:5,Ac 18:18,Ac 19:4,Ac 19:13,Ac 19:21,Ac 19:26,Ac 20:1,Ac 20:7,Ac 20:10,Ac 20:16,Ac 21:13,Ac 21:18,Ac 21:26,Ac 21:29,Ac 21:37,Ac 21:39,Ac 21:40,Ac 22:25,Ac 22:28,Ac 23:1,Ac 23:3,Ac 23:5,Ac 23:6,Ac 23:10,Ac 23:17,Ac 23:18,Ac 24:10,Ac 25:10,Ac 25:19,Ac 25:23,Ac 26:1,Ac 26:25,Ac 26:29,Ac 27:9,Ac 27:21,Ac 27:31,Ac 27:33,Ac 28:8,Ac 28:15,Ro 1:1,1 Co 1:1,1 Co 1:13,1 Co 3:5,1 Co 3:22,2 Co 1:1,2 Co 10:1,Ga 1:1,Ga 5:2,Eph 1:1,Eph 3:1,Php 1:1,Col 1:1,Col 1:23,1 Th 1:1,1 Th 2:18,2 Th 1:1,1 Ti 1:1,2 Ti 1:1,Tt 1:1,Phm 1,Phm 9,Phm 19,2 Pe 3:15	-	-
Πιλάτου	Πιλᾶτος	masculine	genitive	-	-	-	-	singular	-	noun	-	-	Lk 3:1,Ac 3:13,1 Ti 6:13	-	-
Πιλάτῳ	Πιλᾶτος	masculine	dative	-	-	-	-	singular	-	noun	-	-	Mt 27:2,Mt 27:58,Mk 15:1,Lk 23:11,Lk 23:52,Jn 19:21	-	-
Πιλᾶτον	Πιλᾶτος	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Mt 27:62,Mk 15:5,Mk 15:43,Lk 23:1,Jn 19:31,Jn 19:38,Ac 13:28	-	-
Πιλᾶτος	Πιλᾶτος	masculine	nominative	-	-	-	-	singular	-	noun	-	-	Mt 27:13,Mt 27:17,Mt 27:22,Mt 27:24,Mt 27:58,Mt 27:65,Mk 15:2,Mk 15:4,Mk 15:9,Mk 15:12,Mk 15:14,Mk 15:15,Mk 15:44,Lk 13:1,Lk 23:3,Lk 23:4,Lk 23:6,Lk 23:12,Lk 23:13,Lk 23:20,Lk 23:24,Jn 18:29,Jn 18:31,Jn 18:33,Jn 18:35,Jn 18:37,Jn 18:38,Jn 19:1,Jn 19:4,Jn 19:6,Jn 19:8,Jn 19:10,Jn 19:12,Jn 19:13,Jn 19:15,Jn 19:19,Jn 19:22,Jn 19:38,Ac 4:27	-	-
Σάρδεις	Σάρδεις	feminine	accusative	-	-	-	-	plural	-	noun	-	-	Re 1:11	-	-
Σάρδεσιν	Σάρδεις	feminine	dative	-	-	-	-	plural	-	noun	-	-	Re 3:1,Re 3:4	-	-
Σάρρα	Σάρρα	feminine	nominative	-	-	-	-	singular	-	noun	-	-	Heb 11:11,1 Pe 3:6	-	-
Σάρρας	Σάρρα	feminine	genitive	-	-	-	-	singular	-	noun	-	-	Ro 4:19	-	-
Σάρρᾳ	Σάρρα	feminine	dative	-	-	-	-	singular	-	noun	-	-	Ro 9:9	-	-
Σίμων	Σίμων	masculine	nominative	-	-	-	-	singular	-	noun	-	-	Mt 10:2,Mt 10:4,Mt 13:55,Mt 16:16,Mk 1:36,Lk 5:5,Lk 5:8,Lk 7:43,Jn 1:42,Jn 6:68,Jn 13:9,Jn 13:24,Jn 13:36,Jn 18:10,Jn 18:15,Jn 18:25,Jn 20:6,Jn 21:2,Jn 21:3,Jn 21:7,Jn 21:11,Ac 1:13,Ac 8:9,Ac 8:13,Ac 8:18,Ac 8:24,Ac 10:18	-	-
Σίμων	Σίμων	masculine	vocative	-	-	-	-	singular	-	noun	-	-	Mt 16:17,Mt 17:25,Mk 14:37,Lk 7:40,Lk 22:31,Lk 22:31,Jn 21:15,Jn 21:16,Jn 21:17	-	-
Σίμωνά	Σίμων	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Lk 23:26,Ac 10:5	-	-
Σίμωνα	Σίμων	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Mt 4:18,Mt 27:32,Mk 1:16,Mk 3:18,Mk 15:21,Lk 5:4,Lk 5:10,Lk 6:14,Lk 6:15,Jn 1:41,Jn 13:6,Jn 20:2,Ac 10:32,Ac 11:13	-	-
Σίμωνι	Σίμων	masculine	dative	-	-	-	-	singular	-	noun	-	-	Mk 3:16,Lk 5:10,Lk 7:44,Lk 24:34,Jn 21:15,Ac 9:43,Ac 10:6	-	-
Σίμωνος	Σίμων	masculine	genitive	-	-	-	-	singular	-	noun	-	-	Mt 26:6,Mk 1:16,Mk 1:29,Mk 1:30,Mk 6:3,Mk 14:3,Lk 4:38,Lk 4:38,Lk 5:3,Jn 1:40,Jn 6:8,Jn 6:71,Jn 13:2,Jn 13:26,Ac 10:17,Ac 10:32	-	-
Σαούλ	Σαούλ	masculine	vocative	-	-	-	-	singular	-	noun, indeclinable	-	-	Ac 9:4,Ac 22:7,Ac 26:14	-	-
Σαοὺλ	Σαούλ	masculine	vocative	-	-	-	-	singular	-	noun, indeclinable	-	-	Ac 9:4,Ac 9:17,Ac 22:7,Ac 22:13,Ac 26:14	-	-
Σαοὺλ	Σαούλ	masculine	accusative	-	-	-	-	singular	-	noun, indeclinable	-	-	Ac 13:21	-	-
Σατανᾶς	Σατανᾶς	-	-	-	-	-	-	-	-	noun	-	-	Re 12:9,Re 20:2	-	-
σατανᾶ	Σατανᾶς	-	-	-	-	-	-	-	-	noun	-	-	Mt 4:10,Mt 16:23,Mk 1:13,Mk 8:33,Ac 26:18,2 Co 2:11,2 Co 12:7,2 Th 2:9,1 Ti 5:15,Re 2:9,Re 2:13,Re 2:24,Re 3:9	-	-
σατανᾶν	Σατανᾶς	-	-	-	-	-	-	-	-	noun	-	-	Mt 12:26,Mk 3:23,Lk 10:18,Ro 16:20	-	-
σατανᾶς	Σατανᾶς	-	-	-	-	-	-	-	-	noun	-	-	Mt 12:26,Mk 3:23,Mk 3:26,Mk 4:15,Lk 11:18,Lk 13:16,Lk 22:3,Lk 22:31,Jn 13:27,Ac 5:3,1 Co 7:5,2 Co 11:14,1 Th 2:18,Re 2:13,Re 20:7	-	-
σατανᾷ	Σατανᾶς	-	-	-	-	-	-	-	-	noun	-	-	1 Co 5:5,1 Ti 1:20	-	-
Σιλουανοῦ	Σιλουανός	masculine	genitive	-	-	-	-	singular	-	noun	-	-	2 Co 1:19,1 Pe 5:12	-	-
Σιλουανὸς	Σιλουανός	masculine	nominative	-	-	-	-	singular	-	noun	-	-	1 Th 1:1,2 Th 1:1	-	-
Σωσθένην	Σωσθένης	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Ac 18:17	-	-
Σωσθένης	Σωσθένης	masculine	nominative	-	-	-	-	singular	-	noun	-	-	1 Co 1:1	-	-
Τίτον	Τίτος	masculine	accusative	-	-	-	-	singular	-	noun	-	-	2 Co 2:13,2 Co 8:6,2 Co 12:18,Ga 2:1	-	-
