Reference	Abbr	Text
Acts 13:35	Ac 13:35	Therefore he says also in another psalm, “ ‘You will not let your Holy One see corruption.’ 
Acts 13:36	Ac 13:36	For David, after he had served the purpose of God in his own generation, fell asleep and was laid with his fathers and saw corruption, 
Acts 13:37	Ac 13:37	but he whom God raised up did not see corruption. 
Acts 13:38	Ac 13:38	Let it be known to you therefore, brothers, that through this man forgiveness of sins is proclaimed to you, 
Acts 13:39	Ac 13:39	and by him everyone who believes is freed from everything from which you could not be freed by the law of Moses. 
Acts 13:40	Ac 13:40	Beware, therefore, lest what is said in the Prophets should come about: 
Acts 13:41	Ac 13:41	“ ‘Look, you scoffers, be astounded and perish; for I am doing a work in your days, a work that you will not believe, even if one tells it to you.’ ” 
Acts 13:42	Ac 13:42	As they went out, the people begged that these things might be told them the next Sabbath. 
Acts 13:43	Ac 13:43	And after the meeting of the synagogue broke up, many Jews and devout converts to Judaism followed Paul and Barnabas, who, as they spoke with them, urged them to continue in the grace of God. 
Acts 13:44	Ac 13:44	The next Sabbath almost the whole city gathered to hear the word of the Lord. 
Acts 13:45	Ac 13:45	But when the Jews saw the crowds, they were filled with jealousy and began to contradict what was spoken by Paul, reviling him. 
Acts 13:46	Ac 13:46	And Paul and Barnabas spoke out boldly, saying, “It was necessary that the word of God be spoken first to you. Since you thrust it aside and judge yourselves unworthy of eternal life, behold, we are turning to the Gentiles. 
Acts 13:47	Ac 13:47	For so the Lord has commanded us, saying, “ ‘I have made you a light for the Gentiles, that you may bring salvation to the ends of the earth.’ ” 
Acts 13:48	Ac 13:48	And when the Gentiles heard this, they began rejoicing and glorifying the word of the Lord, and as many as were appointed to eternal life believed. 
Acts 13:49	Ac 13:49	And the word of the Lord was spreading throughout the whole region. 
Acts 13:50	Ac 13:50	But the Jews incited the devout women of high standing and the leading men of the city, stirred up persecution against Paul and Barnabas, and drove them out of their district. 
Acts 13:51	Ac 13:51	But they shook off the dust from their feet against them and went to Iconium. 
Acts 13:52	Ac 13:52	And the disciples were filled with joy and with the Holy Spirit. 
Acts 14:1	Ac 14:1	Now at Iconium they entered together into the Jewish synagogue and spoke in such a way that a great number of both Jews and Greeks believed. 
Acts 14:2	Ac 14:2	But the unbelieving Jews stirred up the Gentiles and poisoned their minds against the brothers. 
Acts 14:3	Ac 14:3	So they remained for a long time, speaking boldly for the Lord, who bore witness to the word of his grace, granting signs and wonders to be done by their hands. 
Acts 14:4	Ac 14:4	But the people of the city were divided; some sided with the Jews and some with the apostles. 
Acts 14:5	Ac 14:5	When an attempt was made by both Gentiles and Jews, with their rulers, to mistreat them and to stone them, 
Acts 14:6	Ac 14:6	they learned of it and fled to Lystra and Derbe, cities of Lycaonia, and to the surrounding country, 
Acts 14:7	Ac 14:7	and there they continued to preach the gospel. 
Acts 14:8	Ac 14:8	Now at Lystra there was a man sitting who could not use his feet. He was crippled from birth and had never walked. 
Acts 14:9	Ac 14:9	He listened to Paul speaking. And Paul, looking intently at him and seeing that he had faith to be made well, 
Acts 14:10	Ac 14:10	said in a loud voice, “Stand upright on your feet.” And he sprang up and began walking. 
Acts 14:11	Ac 14:11	And when the crowds saw what Paul had done, they lifted up their voices, saying in Lycaonian, “The gods have come down to us in the likeness of men!” 
Acts 14:12	Ac 14:12	Barnabas they called Zeus, and Paul, Hermes, because he was the chief speaker. 
Acts 14:13	Ac 14:13	And the priest of Zeus, whose temple was at the entrance to the city, brought oxen and garlands to the gates and wanted to offer sacrifice with the crowds. 
Acts 14:14	Ac 14:14	But when the apostles Barnabas and Paul heard of it, they tore their garments and rushed out into the crowd, crying out, 
Acts 14:15	Ac 14:15	“Men, why are you doing these things? We also are men, of like nature with you, and we bring you good news, that you should turn from these vain things to a living God, who made the heaven and the earth and the sea and all that is in them. 
Acts 14:16	Ac 14:16	In past generations he allowed all the nations to walk in their own ways. 
Acts 14:17	Ac 14:17	Yet he did not leave himself without witness, for he did good by giving you rains from heaven and fruitful seasons, satisfying your hearts with food and gladness.” 
Acts 14:18	Ac 14:18	Even with these words they scarcely restrained the people from offering sacrifice to them. 
Acts 14:19	Ac 14:19	But Jews came from Antioch and Iconium, and having persuaded the crowds, they stoned Paul and dragged him out of the city, supposing that he was dead. 
Acts 14:20	Ac 14:20	But when the disciples gathered about him, he rose up and entered the city, and on the next day he went on with Barnabas to Derbe. 
Acts 14:21	Ac 14:21	When they had preached the gospel to that city and had made many disciples, they returned to Lystra and to Iconium and to Antioch, 
Acts 14:22	Ac 14:22	strengthening the souls of the disciples, encouraging them to continue in the faith, and saying that through many tribulations we must enter the kingdom of God. 
Acts 14:23	Ac 14:23	And when they had appointed elders for them in every church, with prayer and fasting they committed them to the Lord in whom they had believed. 
Acts 14:24	Ac 14:24	Then they passed through Pisidia and came to Pamphylia. 
Acts 14:25	Ac 14:25	And when they had spoken the word in Perga, they went down to Attalia, 
Acts 14:26	Ac 14:26	and from there they sailed to Antioch, where they had been commended to the grace of God for the work that they had fulfilled. 
Acts 14:27	Ac 14:27	And when they arrived and gathered the church together, they declared all that God had done with them, and how he had opened a door of faith to the Gentiles. 
Acts 14:28	Ac 14:28	And they remained no little time with the disciples. 
Acts 15:1	Ac 15:1	But some men came down from Judea and were teaching the brothers, “Unless you are circumcised according to the custom of Moses, you cannot be saved.” 
Acts 15:2	Ac 15:2	And after Paul and Barnabas had no small dissension and debate with them, Paul and Barnabas and some of the others were appointed to go up to Jerusalem to the apostles and the elders about this question. 
Acts 15:3	Ac 15:3	So, being sent on their way by the church, they passed through both Phoenicia and Samaria, describing in detail the conversion of the Gentiles, and brought great joy to all the brothers. 
Acts 15:4	Ac 15:4	When they came to Jerusalem, they were welcomed by the church and the apostles and the elders, and they declared all that God had done with them. 
Acts 15:5	Ac 15:5	But some believers who belonged to the party of the Pharisees rose up and said, “It is necessary to circumcise them and to order them to keep the law of Moses.” 
Acts 15:6	Ac 15:6	The apostles and the elders were gathered together to consider this matter. 
Acts 15:7	Ac 15:7	And after there had been much debate, Peter stood up and said to them, “Brothers, you know that in the early days God made a choice among you, that by my mouth the Gentiles should hear the word of the gospel and believe. 
Acts 15:8	Ac 15:8	And God, who knows the heart, bore witness to them, by giving them the Holy Spirit just as he did to us, 
Acts 15:9	Ac 15:9	and he made no distinction between us and them, having cleansed their hearts by faith. 
Acts 15:10	Ac 15:10	Now, therefore, why are you putting God to the test by placing a yoke on the neck of the disciples that neither our fathers nor we have been able to bear? 
Acts 15:11	Ac 15:11	But we believe that we will be saved through the grace of the Lord Jesus, just as they will.” 
Acts 15:12	Ac 15:12	And all the assembly fell silent, and they listened to Barnabas and Paul as they related what signs and wonders God had done through them among the Gentiles. 
Acts 15:13	Ac 15:13	After they finished speaking, James replied, “Brothers, listen to me. 
Acts 15:14	Ac 15:14	Simeon has related how God first visited the Gentiles, to take from them a people for his name. 
Acts 15:15	Ac 15:15	And with this the words of the prophets agree, just as it is written, 
Acts 15:16	Ac 15:16	“ ‘After this I will return, and I will rebuild the tent of David that has fallen; I will rebuild its ruins, and I will restore it, 
Acts 15:17	Ac 15:17	that the remnant of mankind may seek the Lord, and all the Gentiles who are called by my name, says the Lord, who makes these things 
Acts 15:18	Ac 15:18	known from of old.’ 
Acts 15:19	Ac 15:19	Therefore my judgment is that we should not trouble those of the Gentiles who turn to God, 
Acts 15:20	Ac 15:20	but should write to them to abstain from the things polluted by idols, and from sexual immorality, and from what has been strangled, and from blood. 
Acts 15:21	Ac 15:21	For from ancient generations Moses has had in every city those who proclaim him, for he is read every Sabbath in the synagogues.” 
Acts 15:22	Ac 15:22	Then it seemed good to the apostles and the elders, with the whole church, to choose men from among them and send them to Antioch with Paul and Barnabas. They sent Judas called Barsabbas, and Silas, leading men among the brothers, 
Acts 15:23	Ac 15:23	with the following letter: “The brothers, both the apostles and the elders, to the brothers who are of the Gentiles in Antioch and Syria and Cilicia, greetings. 
Acts 15:24	Ac 15:24	Since we have heard that some persons have gone out from us and troubled you with words, unsettling your minds, although we gave them no instructions, 
Acts 15:25	Ac 15:25	it has seemed good to us, having come to one accord, to choose men and send them to you with our beloved Barnabas and Paul, 
Acts 15:26	Ac 15:26	men who have risked their lives for the name of our Lord Jesus Christ. 
Acts 15:27	Ac 15:27	We have therefore sent Judas and Silas, who themselves will tell you the same things by word of mouth. 
Acts 15:28	Ac 15:28	For it has seemed good to the Holy Spirit and to us to lay on you no greater burden than these requirements: 
Acts 15:29	Ac 15:29	that you abstain from what has been sacrificed to idols, and from blood, and from what has been strangled, and from sexual immorality. If you keep yourselves from these, you will do well. Farewell.” 
Acts 15:30	Ac 15:30	So when they were sent off, they went down to Antioch, and having gathered the congregation together, they delivered the letter. 
Acts 15:31	Ac 15:31	And when they had read it, they rejoiced because of its encouragement. 
Acts 15:32	Ac 15:32	And Judas and Silas, who were themselves prophets, encouraged and strengthened the brothers with many words. 
Acts 15:33	Ac 15:33	And after they had spent some time, they were sent off in peace by the brothers to those who had sent them. 
Acts 15:35	Ac 15:35	But Paul and Barnabas remained in Antioch, teaching and preaching the word of the Lord, with many others also. 
Acts 15:36	Ac 15:36	And after some days Paul said to Barnabas, “Let us return and visit the brothers in every city where we proclaimed the word of the Lord, and see how they are.” 
Acts 15:37	Ac 15:37	Now Barnabas wanted to take with them John called Mark. 
Acts 15:38	Ac 15:38	But Paul thought best not to take with them one who had withdrawn from them in Pamphylia and had not gone with them to the work. 
Acts 15:39	Ac 15:39	And there arose a sharp disagreement, so that they separated from each other. Barnabas took Mark with him and sailed away to Cyprus, 
Acts 15:40	Ac 15:40	but Paul chose Silas and departed, having been commended by the brothers to the grace of the Lord. 
Acts 15:41	Ac 15:41	And he went through Syria and Cilicia, strengthening the churches. 
Acts 16:1	Ac 16:1	Paul came also to Derbe and to Lystra. A disciple was there, named Timothy, the son of a Jewish woman who was a believer, but his father was a Greek. 
Acts 16:2	Ac 16:2	He was well spoken of by the brothers at Lystra and Iconium. 
Acts 16:3	Ac 16:3	Paul wanted Timothy to accompany him, and he took him and circumcised him because of the Jews who were in those places, for they all knew that his father was a Greek. 
Acts 16:4	Ac 16:4	As they went on their way through the cities, they delivered to them for observance the decisions that had been reached by the apostles and elders who were in Jerusalem. 
Acts 16:5	Ac 16:5	So the churches were strengthened in the faith, and they increased in numbers daily. 
Acts 16:6	Ac 16:6	And they went through the region of Phrygia and Galatia, having been forbidden by the Holy Spirit to speak the word in Asia. 
Acts 16:7	Ac 16:7	And when they had come up to Mysia, they attempted to go into Bithynia, but the Spirit of Jesus did not allow them. 
Acts 16:8	Ac 16:8	So, passing by Mysia, they went down to Troas. 
Acts 16:9	Ac 16:9	And a vision appeared to Paul in the night: a man of Macedonia was standing there, urging him and saying, “Come over to Macedonia and help us.” 
Acts 16:10	Ac 16:10	And when Paul had seen the vision, immediately we sought to go on into Macedonia, concluding that God had called us to preach the gospel to them. 
Acts 16:11	Ac 16:11	So, setting sail from Troas, we made a direct voyage to Samothrace, and the following day to Neapolis, 
Acts 16:12	Ac 16:12	and from there to Philippi, which is a leading city of the district of Macedonia and a Roman colony. We remained in this city some days. 
Acts 16:13	Ac 16:13	And on the Sabbath day we went outside the gate to the riverside, where we supposed there was a place of prayer, and we sat down and spoke to the women who had come together. 
Acts 16:14	Ac 16:14	One who heard us was a woman named Lydia, from the city of Thyatira, a seller of purple goods, who was a worshiper of God. The Lord opened her heart to pay attention to what was said by Paul. 
Acts 16:15	Ac 16:15	And after she was baptized, and her household as well, she urged us, saying, “If you have judged me to be faithful to the Lord, come to my house and stay.” And she prevailed upon us. 
Acts 16:16	Ac 16:16	As we were going to the place of prayer, we were met by a slave girl who had a spirit of divination and brought her owners much gain by fortune-telling. 
Acts 16:17	Ac 16:17	She followed Paul and us, crying out, “These men are servants of the Most High God, who proclaim to you the way of salvation.” 
Acts 16:18	Ac 16:18	And this she kept doing for many days. Paul, having become greatly annoyed, turned and said to the spirit, “I command you in the name of Jesus Christ to come out of her.” And it came out that very hour. 
Acts 16:19	Ac 16:19	But when her owners saw that their hope of gain was gone, they seized Paul and Silas and dragged them into the marketplace before the rulers. 
Acts 16:20	Ac 16:20	And when they had brought them to the magistrates, they said, “These men are Jews, and they are disturbing our city. 
Acts 16:21	Ac 16:21	They advocate customs that are not lawful for us as Romans to accept or practice.” 
Acts 16:22	Ac 16:22	The crowd joined in attacking them, and the magistrates tore the garments off them and gave orders to beat them with rods. 
Acts 16:23	Ac 16:23	And when they had inflicted many blows upon them, they threw them into prison, ordering the jailer to keep them safely. 
Acts 16:24	Ac 16:24	Having received this order, he put them into the inner prison and fastened their feet in the stocks. 
Acts 16:25	Ac 16:25	About midnight Paul and Silas were praying and singing hymns to God, and the prisoners were listening to them, 
Acts 16:26	Ac 16:26	and suddenly there was a great earthquake, so that the foundations of the prison were shaken. And immediately all the doors were opened, and everyone’s bonds were unfastened. 
Acts 16:27	Ac 16:27	When the jailer woke and saw that the prison doors were open, he drew his sword and was about to kill himself, supposing that the prisoners had escaped. 
Acts 16:28	Ac 16:28	But Paul cried with a loud voice, “Do not harm yourself, for we are all here.” 
Acts 16:29	Ac 16:29	And the jailer called for lights and rushed in, and trembling with fear he fell down before Paul and Silas. 
Acts 16:30	Ac 16:30	Then he brought them out and said, “Sirs, what must I do to be saved?” 
Acts 16:31	Ac 16:31	And they said, “Believe in the Lord Jesus, and you will be saved, you and your household.” 
Acts 16:32	Ac 16:32	And they spoke the word of the Lord to him and to all who were in his house. 
Acts 16:33	Ac 16:33	And he took them the same hour of the night and washed their wounds; and he was baptized at once, he and all his family. 
Acts 16:34	Ac 16:34	Then he brought them up into his house and set food before them. And he rejoiced along with his entire household that he had believed in God. 
Acts 16:35	Ac 16:35	But when it was day, the magistrates sent the police, saying, “Let those men go.” 
Acts 16:36	Ac 16:36	And the jailer reported these words to Paul, saying, “The magistrates have sent to let you go. Therefore come out now and go in peace.” 
Acts 16:37	Ac 16:37	But Paul said to them, “They have beaten us publicly, uncondemned, men who are Roman citizens, and have thrown us into prison; and do they now throw us out secretly? No! Let them come themselves and take us out.” 
Acts 16:38	Ac 16:38	The police reported these words to the magistrates, and they were afraid when they heard that they were Roman citizens. 
Acts 16:39	Ac 16:39	So they came and apologized to them. And they took them out and asked them to leave the city. 
Acts 16:40	Ac 16:40	So they went out of the prison and visited Lydia. And when they had seen the brothers, they encouraged them and departed. 
Acts 17:1	Ac 17:1	Now when they had passed through Amphipolis and Apollonia, they came to Thessalonica, where there was a synagogue of the Jews. 
Acts 17:2	Ac 17:2	And Paul went in, as was his custom, and on three Sabbath days he reasoned with them from the Scriptures, 
Acts 17:3	Ac 17:3	explaining and proving that it was necessary for the Christ to suffer and to rise from the dead, and saying, “This Jesus, whom I proclaim to you, is the Christ.” 
Acts 17:4	Ac 17:4	And some of them were persuaded and joined Paul and Silas, as did a great many of the devout Greeks and not a few of the leading women. 
Acts 17:5	Ac 17:5	But the Jews were jealous, and taking some wicked men of the rabble, they formed a mob, set the city in an uproar, and attacked the house of Jason, seeking to bring them out to the crowd. 
Acts 17:6	Ac 17:6	And when they could not find them, they dragged Jason and some of the brothers before the city authorities, shouting, “These men who have turned the world upside down have come here also, 
Acts 17:7	Ac 17:7	and Jason has received them, and they are all acting against the decrees of Caesar, saying that there is another king, Jesus.” 
Acts 17:8	Ac 17:8	And the people and the city authorities were disturbed when they heard these things. 
Acts 17:9	Ac 17:9	And when they had taken money as security from Jason and the rest, they let them go. 
Acts 17:10	Ac 17:10	The brothers immediately sent Paul and Silas away by night to Berea, and when they arrived they went into the Jewish synagogue. 
Acts 17:11	Ac 17:11	Now these Jews were more noble than those in Thessalonica; they received the word with all eagerness, examining the Scriptures daily to see if these things were so. 
Acts 17:12	Ac 17:12	Many of them therefore believed, with not a few Greek women of high standing as well as men. 
Acts 17:13	Ac 17:13	But when the Jews from Thessalonica learned that the word of God was proclaimed by Paul at Berea also, they came there too, agitating and stirring up the crowds. 
Acts 17:14	Ac 17:14	Then the brothers immediately sent Paul off on his way to the sea, but Silas and Timothy remained there. 
Acts 17:15	Ac 17:15	Those who conducted Paul brought him as far as Athens, and after receiving a command for Silas and Timothy to come to him as soon as possible, they departed. 
Acts 17:16	Ac 17:16	Now while Paul was waiting for them at Athens, his spirit was provoked within him as he saw that the city was full of idols. 
Acts 17:17	Ac 17:17	So he reasoned in the synagogue with the Jews and the devout persons, and in the marketplace every day with those who happened to be there. 
Acts 17:18	Ac 17:18	Some of the Epicurean and Stoic philosophers also conversed with him. And some said, “What does this babbler wish to say?” Others said, “He seems to be a preacher of foreign divinities”—because he was preaching Jesus and the resurrection. 
Acts 17:19	Ac 17:19	And they took him and brought him to the Areopagus, saying, “May we know what this new teaching is that you are presenting? 
Acts 17:20	Ac 17:20	For you bring some strange things to our ears. We wish to know therefore what these things mean.” 
Acts 17:21	Ac 17:21	Now all the Athenians and the foreigners who lived there would spend their time in nothing except telling or hearing something new. 
Acts 17:22	Ac 17:22	So Paul, standing in the midst of the Areopagus, said: “Men of Athens, I perceive that in every way you are very religious. 
Acts 17:23	Ac 17:23	For as I passed along and observed the objects of your worship, I found also an altar with this inscription: ‘To the unknown god.’ What therefore you worship as unknown, this I proclaim to you. 
Acts 17:24	Ac 17:24	The God who made the world and everything in it, being Lord of heaven and earth, does not live in temples made by man, 
Acts 17:25	Ac 17:25	nor is he served by human hands, as though he needed anything, since he himself gives to all mankind life and breath and everything. 
Acts 17:26	Ac 17:26	And he made from one man every nation of mankind to live on all the face of the earth, having determined allotted periods and the boundaries of their dwelling place, 
Acts 17:27	Ac 17:27	that they should seek God, and perhaps feel their way toward him and find him. Yet he is actually not far from each one of us, 
Acts 17:28	Ac 17:28	for “ ‘In him we live and move and have our being’; as even some of your own poets have said, “ ‘For we are indeed his offspring.’ 
Acts 17:29	Ac 17:29	Being then God’s offspring, we ought not to think that the divine being is like gold or silver or stone, an image formed by the art and imagination of man. 
Acts 17:30	Ac 17:30	The times of ignorance God overlooked, but now he commands all people everywhere to repent, 
Acts 17:31	Ac 17:31	because he has fixed a day on which he will judge the world in righteousness by a man whom he has appointed; and of this he has given assurance to all by raising him from the dead.” 
Acts 17:32	Ac 17:32	Now when they heard of the resurrection of the dead, some mocked. But others said, “We will hear you again about this.” 
Acts 17:33	Ac 17:33	So Paul went out from their midst. 
Acts 17:34	Ac 17:34	But some men joined him and believed, among whom also were Dionysius the Areopagite and a woman named Damaris and others with them. 
Acts 18:1	Ac 18:1	After this Paul left Athens and went to Corinth. 
Acts 18:2	Ac 18:2	And he found a Jew named Aquila, a native of Pontus, recently come from Italy with his wife Priscilla, because Claudius had commanded all the Jews to leave Rome. And he went to see them, 
Acts 18:3	Ac 18:3	and because he was of the same trade he stayed with them and worked, for they were tentmakers by trade. 
Acts 18:4	Ac 18:4	And he reasoned in the synagogue every Sabbath, and tried to persuade Jews and Greeks. 
Acts 18:5	Ac 18:5	When Silas and Timothy arrived from Macedonia, Paul was occupied with the word, testifying to the Jews that the Christ was Jesus. 
Acts 18:6	Ac 18:6	And when they opposed and reviled him, he shook out his garments and said to them, “Your blood be on your own heads! I am innocent. From now on I will go to the Gentiles.” 
Acts 18:7	Ac 18:7	And he left there and went to the house of a man named Titius Justus, a worshiper of God. His house was next door to the synagogue. 
Acts 18:8	Ac 18:8	Crispus, the ruler of the synagogue, believed in the Lord, together with his entire household. And many of the Corinthians hearing Paul believed and were baptized. 
Acts 18:9	Ac 18:9	And the Lord said to Paul one night in a vision, “Do not be afraid, but go on speaking and do not be silent, 
Acts 18:10	Ac 18:10	for I am with you, and no one will attack you to harm you, for I have many in this city who are my people.” 
Acts 18:11	Ac 18:11	And he stayed a year and six months, teaching the word of God among them. 
Acts 18:12	Ac 18:12	But when Gallio was proconsul of Achaia, the Jews made a united attack on Paul and brought him before the tribunal, 
Acts 18:13	Ac 18:13	saying, “This man is persuading people to worship God contrary to the law.” 
Acts 18:14	Ac 18:14	But when Paul was about to open his mouth, Gallio said to the Jews, “If it were a matter of wrongdoing or vicious crime, O Jews, I would have reason to accept your complaint. 
Acts 18:15	Ac 18:15	But since it is a matter of questions about words and names and your own law, see to it yourselves. I refuse to be a judge of these things.” 
Acts 18:16	Ac 18:16	And he drove them from the tribunal. 
Acts 18:17	Ac 18:17	And they all seized Sosthenes, the ruler of the synagogue, and beat him in front of the tribunal. But Gallio paid no attention to any of this. 
Acts 18:18	Ac 18:18	After this, Paul stayed many days longer and then took leave of the brothers and set sail for Syria, and with him Priscilla and Aquila. At Cenchreae he had cut his hair, for he was under a vow. 
Acts 18:19	Ac 18:19	And they came to Ephesus, and he left them there, but he himself went into the synagogue and reasoned with the Jews. 
Acts 18:20	Ac 18:20	When they asked him to stay for a longer period, he declined. 
Acts 18:21	Ac 18:21	But on taking leave of them he said, “I will return to you if God wills,” and he set sail from Ephesus. 
Acts 18:22	Ac 18:22	When he had landed at Caesarea, he went up and greeted the church, and then went down to Antioch. 
Acts 18:23	Ac 18:23	After spending some time there, he departed and went from one place to the next through the region of Galatia and Phrygia, strengthening all the disciples. 
Acts 18:24	Ac 18:24	Now a Jew named Apollos, a native of Alexandria, came to Ephesus. He was an eloquent man, competent in the Scriptures. 
Acts 18:25	Ac 18:25	He had been instructed in the way of the Lord. And being fervent in spirit, he spoke and taught accurately the things concerning Jesus, though he knew only the baptism of John. 
Acts 18:26	Ac 18:26	He began to speak boldly in the synagogue, but when Priscilla and Aquila heard him, they took him aside and explained to him the way of God more accurately. 
Acts 18:27	Ac 18:27	And when he wished to cross to Achaia, the brothers encouraged him and wrote to the disciples to welcome him. When he arrived, he greatly helped those who through grace had believed, 
Acts 18:28	Ac 18:28	for he powerfully refuted the Jews in public, showing by the Scriptures that the Christ was Jesus. 
Acts 19:1	Ac 19:1	And it happened that while Apollos was at Corinth, Paul passed through the inland country and came to Ephesus. There he found some disciples. 
Acts 19:2	Ac 19:2	And he said to them, “Did you receive the Holy Spirit when you believed?” And they said, “No, we have not even heard that there is a Holy Spirit.” 
Acts 19:3	Ac 19:3	And he said, “Into what then were you baptized?” They said, “Into John’s baptism.” 
Acts 19:4	Ac 19:4	And Paul said, “John baptized with the baptism of repentance, telling the people to believe in the one who was to come after him, that is, Jesus.” 
Acts 19:5	Ac 19:5	On hearing this, they were baptized in the name of the Lord Jesus. 
Acts 19:6	Ac 19:6	And when Paul had laid his hands on them, the Holy Spirit came on them, and they began speaking in tongues and prophesying. 
Acts 19:7	Ac 19:7	There were about twelve men in all. 
Acts 19:8	Ac 19:8	And he entered the synagogue and for three months spoke boldly, reasoning and persuading them about the kingdom of God. 
Acts 19:9	Ac 19:9	But when some became stubborn and continued in unbelief, speaking evil of the Way before the congregation, he withdrew from them and took the disciples with him, reasoning daily in the hall of Tyrannus. 
Acts 19:10	Ac 19:10	This continued for two years, so that all the residents of Asia heard the word of the Lord, both Jews and Greeks. 
Acts 19:11	Ac 19:11	And God was doing extraordinary miracles by the hands of Paul, 
Acts 19:12	Ac 19:12	so that even handkerchiefs or aprons that had touched his skin were carried away to the sick, and their diseases left them and the evil spirits came out of them. 
Acts 19:13	Ac 19:13	Then some of the itinerant Jewish exorcists undertook to invoke the name of the Lord Jesus over those who had evil spirits, saying, “I adjure you by the Jesus whom Paul proclaims.” 
Acts 19:14	Ac 19:14	Seven sons of a Jewish high priest named Sceva were doing this. 
Acts 19:15	Ac 19:15	But the evil spirit answered them, “Jesus I know, and Paul I recognize, but who are you?” 
Acts 19:16	Ac 19:16	And the man in whom was the evil spirit leaped on them, mastered all of them and overpowered them, so that they fled out of that house naked and wounded. 
Acts 19:17	Ac 19:17	And this became known to all the residents of Ephesus, both Jews and Greeks. And fear fell upon them all, and the name of the Lord Jesus was extolled. 
Acts 19:18	Ac 19:18	Also many of those who were now believers came, confessing and divulging their practices. 
Acts 19:19	Ac 19:19	And a number of those who had practiced magic arts brought their books together and burned them in the sight of all. And they counted the value of them and found it came to fifty thousand pieces of silver. 
Acts 19:20	Ac 19:20	So the word of the Lord continued to increase and prevail mightily. 
Acts 19:21	Ac 19:21	Now after these events Paul resolved in the Spirit to pass through Macedonia and Achaia and go to Jerusalem, saying, “After I have been there, I must also see Rome.” 
Acts 19:22	Ac 19:22	And having sent into Macedonia two of his helpers, Timothy and Erastus, he himself stayed in Asia for a while. 
Acts 19:23	Ac 19:23	About that time there arose no little disturbance concerning the Way. 
Acts 19:24	Ac 19:24	For a man named Demetrius, a silversmith, who made silver shrines of Artemis, brought no little business to the craftsmen. 
Acts 19:25	Ac 19:25	These he gathered together, with the workmen in similar trades, and said, “Men, you know that from this business we have our wealth. 
Acts 19:26	Ac 19:26	And you see and hear that not only in Ephesus but in almost all of Asia this Paul has persuaded and turned away a great many people, saying that gods made with hands are not gods. 
Acts 19:27	Ac 19:27	And there is danger not only that this trade of ours may come into disrepute but also that the temple of the great goddess Artemis may be counted as nothing, and that she may even be deposed from her magnificence, she whom all Asia and the world worship.” 
Acts 19:28	Ac 19:28	When they heard this they were enraged and were crying out, “Great is Artemis of the Ephesians!” 
Acts 19:29	Ac 19:29	So the city was filled with the confusion, and they rushed together into the theater, dragging with them Gaius and Aristarchus, Macedonians who were Paul’s companions in travel. 
Acts 19:30	Ac 19:30	But when Paul wished to go in among the crowd, the disciples would not let him. 
Acts 19:31	Ac 19:31	And even some of the Asiarchs, who were friends of his, sent to him and were urging him not to venture into the theater. 
Acts 19:32	Ac 19:32	Now some cried out one thing, some another, for the assembly was in confusion, and most of them did not know why they had come together. 
Acts 19:33	Ac 19:33	Some of the crowd prompted Alexander, whom the Jews had put forward. And Alexander, motioning with his hand, wanted to make a defense to the crowd. 
Acts 19:34	Ac 19:34	But when they recognized that he was a Jew, for about two hours they all cried out with one voice, “Great is Artemis of the Ephesians!” 
Acts 19:35	Ac 19:35	And when the town clerk had quieted the crowd, he said, “Men of Ephesus, who is there who does not know that the city of the Ephesians is temple keeper of the great Artemis, and of the sacred stone that fell from the sky? 
Acts 19:36	Ac 19:36	Seeing then that these things cannot be denied, you ought to be quiet and do nothing rash. 
Acts 19:37	Ac 19:37	For you have brought these men here who are neither sacrilegious nor blasphemers of our goddess. 
Acts 19:38	Ac 19:38	If therefore Demetrius and the craftsmen with him have a complaint against anyone, the courts are open, and there are proconsuls. Let them bring charges against one another. 
Acts 19:39	Ac 19:39	But if you seek anything further, it shall be settled in the regular assembly. 
Acts 19:40	Ac 19:40	For we really are in danger of being charged with rioting today, since there is no cause that we can give to justify this commotion.” 
Acts 19:41	Ac 19:41	And when he had said these things, he dismissed the assembly. 
Acts 20:1	Ac 20:1	After the uproar ceased, Paul sent for the disciples, and after encouraging them, he said farewell and departed for Macedonia. 
Acts 20:2	Ac 20:2	When he had gone through those regions and had given them much encouragement, he came to Greece. 
Acts 20:3	Ac 20:3	There he spent three months, and when a plot was made against him by the Jews as he was about to set sail for Syria, he decided to return through Macedonia. 
Acts 20:4	Ac 20:4	Sopater the Berean, son of Pyrrhus, accompanied him; and of the Thessalonians, Aristarchus and Secundus; and Gaius of Derbe, and Timothy; and the Asians, Tychicus and Trophimus. 
Acts 20:5	Ac 20:5	These went on ahead and were waiting for us at Troas, 
Acts 20:6	Ac 20:6	but we sailed away from Philippi after the days of Unleavened Bread, and in five days we came to them at Troas, where we stayed for seven days. 
Acts 20:7	Ac 20:7	On the first day of the week, when we were gathered together to break bread, Paul talked with them, intending to depart on the next day, and he prolonged his speech until midnight. 
Acts 20:8	Ac 20:8	There were many lamps in the upper room where we were gathered. 
Acts 20:9	Ac 20:9	And a young man named Eutychus, sitting at the window, sank into a deep sleep as Paul talked still longer. And being overcome by sleep, he fell down from the third story and was taken up dead. 
Acts 20:10	Ac 20:10	But Paul went down and bent over him, and taking him in his arms, said, “Do not be alarmed, for his life is in him.” 
Acts 20:11	Ac 20:11	And when Paul had gone up and had broken bread and eaten, he conversed with them a long while, until daybreak, and so departed. 
