Result	Lemma	Gender	Case	Tense	Voice	Mood	Person	Number	Gloss	Part	Chapter	Adverb/particle Type	Reference	Sense	Pronoun Type
Βαρναβᾶς	Βαρναβᾶς	masculine	nominative	-	-	-	-	singular	Barnabas	noun	44	-	Ac 4:36,Ac 9:27,Ac 12:25,Ac 13:1,Ac 13:46,Ac 14:14,Ac 15:35,Ac 15:37,1 Co 9:6,Ga 2:13	-	-
Βαρναβᾷ	Βαρναβᾶς	masculine	dative	-	-	-	-	singular	Barnabas	noun	44	-	Ac 13:43,Ac 14:20,Ac 15:2,Ac 15:22,Ac 15:25,Ga 2:9	-	-
Βεελζεβοὺλ	Βεελζεβούλ	masculine	accusative	-	-	-	-	singular	-	noun, indeclinable	-	-	Mt 10:25,Mk 3:22	-	-
Βεελζεβοὺλ	Βεελζεβούλ	masculine	dative	-	-	-	-	singular	-	noun, indeclinable	-	-	Mt 12:24,Mt 12:27,Lk 11:15,Lk 11:18,Lk 11:19	-	-
Βηθανία	Βηθανία	feminine	nominative	-	-	-	-	singular	-	noun	-	-	Jn 11:18	-	-
Βηθανίαν	Βηθανία	feminine	accusative	-	-	-	-	singular	-	noun	-	-	Mt 21:17,Mk 11:1,Mk 11:11,Lk 19:29,Lk 24:50,Jn 12:1	-	-
Βηθανίας	Βηθανία	feminine	genitive	-	-	-	-	singular	-	noun	-	-	Mk 11:12,Jn 11:1	-	-
Βηθανίᾳ	Βηθανία	feminine	dative	-	-	-	-	singular	-	noun	-	-	Mt 26:6,Mk 14:3,Jn 1:28	-	-
Βηθλέεμ	Βηθλέεμ	feminine	vocative	-	-	-	-	singular	-	noun, indeclinable	-	-	Mt 2:6	-	-
Βηθλέεμ	Βηθλέεμ	feminine	genitive	-	-	-	-	singular	-	noun, indeclinable	-	-	Lk 2:15,Jn 7:42	-	-
Βηθλέεμ	Βηθλέεμ	feminine	dative	-	-	-	-	singular	-	noun, indeclinable	-	-	Mt 2:1,Mt 2:5,Mt 2:16	-	-
Βηθλέεμ	Βηθλέεμ	feminine	nominative	-	-	-	-	singular	-	noun, indeclinable	-	-	Lk 2:4	-	-
Βηθλέεμ	Βηθλέεμ	feminine	accusative	-	-	-	-	singular	-	noun, indeclinable	-	-	Mt 2:8	-	-
Γαλιλαία	Γαλιλαία	feminine	vocative	-	-	-	-	singular	Galilee	noun	43	-	Mt 4:15	-	-
Γαλιλαίαν	Γαλιλαία	feminine	accusative	-	-	-	-	singular	Galilee	noun	43	-	Mt 4:12,Mt 26:32,Mt 28:7,Mt 28:10,Mt 28:16,Mk 1:14,Mk 1:39,Mk 14:28,Mk 16:7,Lk 2:39,Lk 4:14,Jn 1:43,Jn 4:3,Jn 4:43,Jn 4:45,Jn 4:47,Jn 4:54	-	-
Γαλιλαίας	Γαλιλαία	feminine	genitive	-	-	-	-	singular	Galilee	noun	43	-	Mt 2:22,Mt 3:13,Mt 4:18,Mt 4:25,Mt 15:29,Mt 19:1,Mt 21:11,Mt 27:55,Mk 1:9,Mk 1:16,Mk 1:28,Mk 3:7,Mk 6:21,Mk 7:31,Mk 9:30,Lk 1:26,Lk 2:4,Lk 3:1,Lk 4:31,Lk 5:17,Lk 8:26,Lk 17:11,Lk 23:5,Lk 23:49,Lk 23:55,Jn 2:1,Jn 2:11,Jn 4:46,Jn 6:1,Jn 7:41,Jn 7:52,Jn 12:21,Jn 21:2,Ac 9:31,Ac 10:37,Ac 13:31	-	-
Γαλιλαίας	Γαλιλαία	feminine	genitive	-	-	-	-	singular	Galilee	noun	43	-	Jn 7:52	believer ⇔ person from Galilee	-
Γαλιλαίᾳ	Γαλιλαία	feminine	dative	-	-	-	-	singular	Galilee	noun	43	-	Mt 4:23,Mt 17:22,Mk 15:41,Lk 24:6,Jn 7:1,Jn 7:9	-	-
Δαμασκόν	Δαμασκός	feminine	accusative	-	-	-	-	singular	Damascus	noun	49	-	Ac 9:8,Ac 22:11,Ga 1:17	-	-
Δαμασκὸν	Δαμασκός	feminine	accusative	-	-	-	-	singular	Damascus	noun	49	-	Ac 9:2,Ac 22:5,Ac 22:10,Ac 26:12	-	-
Δαμασκῷ	Δαμασκός	feminine	dative	-	-	-	-	singular	Damascus	noun	49	-	Ac 9:3,Ac 9:10,Ac 9:19,Ac 9:22,Ac 9:27,Ac 22:6,Ac 26:20,2 Co 11:32	-	-
Δαυίδ	Δαυίδ	masculine	genitive	-	-	-	-	singular	David	noun, indeclinable	43	-	Mt 1:20,Mt 9:27,Mt 12:23,Mt 15:22,Mt 20:30,Mt 20:31,Mt 21:9,Mt 21:15,Mt 22:42,Mk 10:48,Mk 11:10,Mk 12:35,Lk 2:4,Lk 2:11,Lk 18:38,Lk 18:39,Ac 7:45,2 Ti 2:8,Heb 11:32,Re 3:7,Re 5:5,Re 22:16	-	-
Δαυὶδ	Δαυίδ	masculine	accusative	-	-	-	-	singular	David	noun, indeclinable	43	-	Mt 1:6,Ac 13:22,Ac 13:22	-	-
Δαυὶδ	Δαυίδ	masculine	dative	-	-	-	-	singular	David	noun, indeclinable	43	-	Heb 4:7	-	-
Δαυὶδ	Δαυίδ	masculine	genitive	-	-	-	-	singular	David	noun, indeclinable	43	-	Mt 1:1,Mt 1:17,Mt 1:17,Mk 10:47,Lk 1:27,Lk 1:32,Lk 1:69,Lk 2:4,Lk 3:31,Lk 20:41,Jn 7:42,Ac 1:16,Ac 2:29,Ac 4:25,Ac 13:34,Ac 15:16,Ro 1:3	-	-
Δαυὶδ	Δαυίδ	masculine	nominative	-	-	-	-	singular	David	noun, indeclinable	43	-	Mt 1:6,Mt 12:3,Mt 22:43,Mt 22:45,Mk 2:25,Mk 12:36,Mk 12:37,Lk 6:3,Lk 20:42,Lk 20:44,Jn 7:42,Ac 2:25,Ac 2:34,Ac 13:36,Ro 4:6,Ro 11:9	-	-
Ζαχαρία	Ζαχαρίας	masculine	vocative	-	-	-	-	singular	-	noun	-	-	Lk 1:13	-	-
Ζαχαρίαν	Ζαχαρίας	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Lk 1:21,Lk 1:59	-	-
Ζαχαρίας	Ζαχαρίας	masculine	nominative	-	-	-	-	singular	-	noun	-	-	Lk 1:5,Lk 1:12,Lk 1:18,Lk 1:67	-	-
Ζαχαρίου	Ζαχαρίας	masculine	genitive	-	-	-	-	singular	-	noun	-	-	Mt 23:35,Lk 1:40,Lk 3:2,Lk 11:51	-	-
Ζεβεδαίου	Ζεβεδαῖος	masculine	genitive	-	-	-	-	singular	-	noun	-	-	Mt 4:21,Mt 4:21,Mt 10:2,Mt 20:20,Mt 26:37,Mt 27:56,Mk 1:19,Mk 3:17,Mk 10:35,Lk 5:10,Jn 21:2	-	-
Ζεβεδαῖον	Ζεβεδαῖος	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Mk 1:20	-	-
Θωμᾶν	Θωμᾶς	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Mk 3:18,Lk 6:15	-	-
Θωμᾶς	Θωμᾶς	masculine	nominative	-	-	-	-	singular	-	noun	-	-	Mt 10:3,Jn 11:16,Jn 14:5,Jn 20:24,Jn 20:26,Jn 20:28,Jn 21:2,Ac 1:13	-	-
Θωμᾷ	Θωμᾶς	masculine	dative	-	-	-	-	singular	-	noun	-	-	Jn 20:27	-	-
Καισάρειαν	Καισάρεια	feminine	accusative	-	-	-	-	singular	Caesarea	noun	47	-	Ac 8:40,Ac 9:30,Ac 10:24,Ac 12:19,Ac 18:22,Ac 21:8,Ac 23:33,Ac 25:4,Ac 25:6,Ac 25:13	-	-
Καισαρείας	Καισάρεια	feminine	genitive	-	-	-	-	singular	Caesarea	noun	47	-	Mt 16:13,Mk 8:27,Ac 11:11,Ac 21:16,Ac 23:23,Ac 25:1	-	-
Καισαρείᾳ	Καισάρεια	feminine	dative	-	-	-	-	singular	Caesarea	noun	47	-	Ac 10:1	-	-
Καφαρναούμ	Καφαρναούμ	feminine	dative	-	-	-	-	singular	Capernaum	noun, indeclinable	48	-	Jn 4:46,Jn 6:59	-	-
Καφαρναούμ	Καφαρναούμ	feminine	vocative	-	-	-	-	singular	Capernaum	noun, indeclinable	48	-	Mt 11:23,Lk 10:15	-	-
Καφαρναούμ	Καφαρναούμ	feminine	accusative	-	-	-	-	singular	Capernaum	noun, indeclinable	48	-	Mk 1:21,Mk 9:33,Lk 7:1,Jn 6:17	-	-
Καφαρναοὺμ	Καφαρναούμ	feminine	accusative	-	-	-	-	singular	Capernaum	noun, indeclinable	48	-	Mt 4:13,Mt 8:5,Mt 17:24,Mk 2:1,Lk 4:23,Lk 4:31,Jn 2:12,Jn 6:24	-	-
Καϊάφα	Καϊάφας	masculine	genitive	-	-	-	-	singular	-	noun	-	-	Mt 26:3,Lk 3:2,Jn 18:13,Jn 18:28	-	-
Καϊάφαν	Καϊάφας	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Mt 26:57,Jn 18:24	-	-
Καϊάφας	Καϊάφας	masculine	nominative	-	-	-	-	singular	-	noun	-	-	Jn 11:49,Jn 18:14,Ac 4:6	-	-
Καίσαρά	Καῖσαρ	masculine	accusative	-	-	-	-	singular	Caesar; emperor	noun	43	-	Ac 25:8	-	-
Καίσαρί	Καῖσαρ	masculine	dative	-	-	-	-	singular	Caesar; emperor	noun	43	-	Ac 27:24	-	-
Καίσαρα	Καῖσαρ	masculine	accusative	-	-	-	-	singular	Caesar; emperor	noun	43	-	Jn 19:15,Ac 25:11,Ac 25:12,Ac 25:12,Ac 25:21,Ac 26:32,Ac 28:19	-	-
Καίσαρι	Καῖσαρ	masculine	dative	-	-	-	-	singular	Caesar; emperor	noun	43	-	Mt 22:17,Mt 22:21,Mk 12:14,Mk 12:17,Lk 20:22,Lk 20:25,Lk 23:2,Jn 19:12	-	-
Καίσαρος	Καῖσαρ	masculine	genitive	-	-	-	-	singular	Caesar; emperor	noun	43	-	Mt 22:21,Mt 22:21,Mk 12:16,Mk 12:17,Lk 2:1,Lk 3:1,Lk 20:24,Lk 20:25,Jn 19:12,Ac 17:7,Ac 25:10,Php 4:22	-	-
Κιλικίαν	Κιλικία	feminine	accusative	-	-	-	-	singular	-	noun	-	-	Ac 15:23,Ac 15:41,Ac 27:5	-	-
Κιλικίας	Κιλικία	feminine	genitive	-	-	-	-	singular	-	noun	-	-	Ac 6:9,Ac 21:39,Ac 22:3,Ac 23:34,Ga 1:21	-	-
Κλήμεντος	Κλήμης	masculine	genitive	-	-	-	-	singular	-	noun	-	-	Php 4:3	-	-
Λάζαρε	Λάζαρος	masculine	vocative	-	-	-	-	singular	Lazarus	noun	49	-	Jn 11:43	-	-
Λάζαρον	Λάζαρος	masculine	accusative	-	-	-	-	singular	Lazarus	noun	49	-	Lk 16:23,Lk 16:24,Jn 11:5,Jn 12:9,Jn 12:10,Jn 12:17	-	-
Λάζαρος	Λάζαρος	masculine	nominative	-	-	-	-	singular	Lazarus	noun	49	-	Lk 16:20,Lk 16:25,Jn 11:1,Jn 11:2,Jn 11:11,Jn 11:14,Jn 12:1,Jn 12:2	-	-
Λευὶ	Λευί	masculine	nominative	-	-	-	-	singular	-	noun, indeclinable	-	-	Heb 7:9	-	-
Λευὶ	Λευί	masculine	genitive	-	-	-	-	singular	-	noun, indeclinable	-	-	Lk 3:24,Lk 3:29,Heb 7:5,Re 7:7	-	-
Λευὶν	Λευί	masculine	accusative	-	-	-	-	singular	-	noun	-	-	Mk 2:14,Lk 5:27	-	-
Λευὶς	Λευί	masculine	nominative	-	-	-	-	singular	-	noun	-	-	Lk 5:29	-	-
Μάρθα	Μάρθα	feminine	nominative	-	-	-	-	singular	-	noun	-	-	Lk 10:38,Lk 10:40,Jn 11:20,Jn 11:21,Jn 11:24,Jn 11:30,Jn 11:39,Jn 12:2	-	-
Μάρθα	Μάρθα	feminine	vocative	-	-	-	-	singular	-	noun	-	-	Lk 10:41,Lk 10:41	-	-
Μάρθαν	Μάρθα	feminine	accusative	-	-	-	-	singular	-	noun	-	-	Jn 11:5,Jn 11:19	-	-
Μάρθας	Μάρθα	feminine	genitive	-	-	-	-	singular	-	noun	-	-	Jn 11:1	-	-
Μαγδαληνή	Μαγδαληνή	feminine	nominative	-	-	-	-	singular	-	noun	-	-	Lk 8:2,Jn 19:25	-	-
Μαγδαληνὴ	Μαγδαληνή	feminine	nominative	-	-	-	-	singular	-	noun	-	-	Mt 27:56,Mt 27:61,Mt 28:1,Mk 15:40,Mk 15:47,Mk 16:1,Lk 24:10,Jn 20:1,Jn 20:18	-	-
Μαγδαληνῇ	Μαγδαληνή	feminine	dative	-	-	-	-	singular	-	noun	-	-	Mk 16:9	-	-
Μακεδονία	Μακεδονία	feminine	nominative	-	-	-	-	singular	Macedonia	noun	44	-	Ro 15:26	-	-
Μακεδονίαν	Μακεδονία	feminine	accusative	-	-	-	-	singular	Macedonia	noun	44	-	Ac 16:9,Ac 16:10,Ac 19:21,Ac 19:22,Ac 20:1,1 Co 16:5,1 Co 16:5,2 Co 1:16,2 Co 2:13,2 Co 7:5,1 Ti 1:3	-	-
Μακεδονίας	Μακεδονία	feminine	genitive	-	-	-	-	singular	Macedonia	noun	44	-	Ac 16:12,Ac 18:5,Ac 20:3,2 Co 1:16,2 Co 8:1,2 Co 11:9,Php 4:15	-	-
Μακεδονίᾳ	Μακεδονία	feminine	dative	-	-	-	-	singular	Macedonia	noun	44	-	1 Th 1:7,1 Th 1:8,1 Th 4:10	-	-
Μαρία	Μαρία	feminine	nominative	-	-	-	-	singular	Mary	noun	44	-	Mt 27:56,Mt 27:56,Mt 27:61,Mt 28:1,Mk 15:40,Mk 15:40,Mk 15:47,Mk 15:47,Mk 16:1,Mk 16:1,Lk 8:2,Lk 24:10,Lk 24:10,Jn 19:25,Jn 19:25,Jn 20:1,Jn 20:11	-	-
Μαρίαν	Μαρία	feminine	accusative	-	-	-	-	singular	Mary	noun	44	-	Mt 1:20,Ro 16:6	-	-
Μαρίας	Μαρία	feminine	genitive	-	-	-	-	singular	Mary	noun	44	-	Mt 1:16,Mt 1:18,Mt 2:11,Mk 6:3,Lk 1:41,Jn 11:1,Ac 12:12	-	-
Μαρίᾳ	Μαρία	feminine	dative	-	-	-	-	singular	Mary	noun	44	-	Mk 16:9	-	-
Μαριάμ	Μαριάμ	feminine	nominative	-	-	-	-	singular	Mary	noun, indeclinable	44	-	Lk 1:27,Lk 1:38,Lk 1:46,Lk 10:39	-	-
Μαριάμ	Μαριάμ	feminine	vocative	-	-	-	-	singular	Mary	noun, indeclinable	44	-	Lk 1:30,Jn 20:16	-	-
Μαριὰμ	Μαριάμ	feminine	dative	-	-	-	-	singular	Mary	noun, indeclinable	44	-	Lk 2:5,Ac 1:14	-	-
Μαριὰμ	Μαριάμ	feminine	nominative	-	-	-	-	singular	Mary	noun, indeclinable	44	-	Mt 13:55,Mt 27:61,Mt 28:1,Lk 1:34,Lk 1:39,Lk 1:56,Lk 2:19,Lk 10:42,Jn 11:2,Jn 11:20,Jn 11:32,Jn 12:3,Jn 20:18	-	-
Μαριὰμ	Μαριάμ	feminine	accusative	-	-	-	-	singular	Mary	noun, indeclinable	44	-	Lk 2:16,Lk 2:34,Jn 11:19,Jn 11:28,Jn 11:31,Jn 11:45	-	-
Μελχισέδεκ	Μελχισέδεκ	masculine	genitive	-	-	-	-	singular	-	noun, indeclinable	-	-	Heb 5:6,Heb 5:10,Heb 6:20,Heb 7:11,Heb 7:15,Heb 7:17	-	-
Μελχισέδεκ	Μελχισέδεκ	masculine	nominative	-	-	-	-	singular	-	noun, indeclinable	-	-	Heb 7:1,Heb 7:10	-	-
Μωϋσέα	Μωϋσῆς	masculine	accusative	-	-	-	-	singular	Moses	noun	43	-	Lk 16:29	Tanakh ⇔ law, Torah ⇔ Moses	-
Μωϋσέως	Μωϋσῆς	masculine	genitive	-	-	-	-	singular	Moses	noun	43	-	Heb 10:28	Mosaic law system	-
Μωϋσέως	Μωϋσῆς	masculine	genitive	-	-	-	-	singular	Moses	noun	43	-	Mt 23:2,Mk 12:26,Lk 2:22,Jn 1:17,Jn 7:22,Jn 7:23,Jn 9:28,Ac 13:38,Ac 15:1,Ac 15:5,Ac 21:21,Ac 28:23,Ro 5:14,1 Co 9:9,2 Co 3:7,Heb 3:16,Heb 9:19,Jud 9,Re 15:3	-	-
Μωϋσέως	Μωϋσῆς	masculine	genitive	-	-	-	-	singular	Moses	noun	43	-	Lk 24:27	Torah ⇔ Moses	-
Μωϋσέως	Μωϋσῆς	masculine	genitive	-	-	-	-	singular	Moses	noun	43	-	Lk 16:31	Tanakh ⇔ law, Torah ⇔ Moses	-
Μωϋσέως	Μωϋσῆς	masculine	genitive	-	-	-	-	singular	Moses	noun	43	-	Lk 24:44	scripture ⇔ the Law of Moses and the Prophets and the Psalms	-
Μωϋσεῖ	Μωϋσῆς	masculine	dative	-	-	-	-	singular	Moses	noun	43	-	Mt 17:4,Mk 9:4,Mk 9:5,Lk 9:33,Jn 5:46,Jn 9:29,Ro 9:15,2 Ti 3:8	-	-
Μωϋσῆν	Μωϋσῆς	masculine	accusative	-	-	-	-	singular	Moses	noun	43	-	1 Co 10:2	Mosaic law system ⇔ Moses	-
Μωϋσῆν	Μωϋσῆς	masculine	accusative	-	-	-	-	singular	Moses	noun	43	-	Ac 6:11,Ac 7:35,Heb 3:3	-	-
Μωϋσῆς	Μωϋσῆς	masculine	nominative	-	-	-	-	singular	Moses	noun	43	-	Mt 8:4,Mt 17:3,Mt 19:7,Mt 19:8,Mt 22:24,Mk 1:44,Mk 7:10,Mk 10:3,Mk 10:4,Mk 12:19,Lk 5:14,Lk 9:30,Lk 20:28,Lk 20:37,Jn 1:45,Jn 3:14,Jn 5:45,Jn 6:32,Jn 7:19,Jn 7:22,Jn 8:5,Ac 3:22,Ac 6:14,Ac 7:20,Ac 7:22,Ac 7:29,Ac 7:31,Ac 7:32,Ac 7:37,Ac 7:40,Ac 15:21,Ac 26:22,Ro 10:5,Ro 10:19,2 Co 3:13,Heb 3:2,Heb 3:5,Heb 7:14,Heb 8:5,Heb 11:23,Heb 11:24,Heb 12:21	-	-
Μωϋσῆς	Μωϋσῆς	masculine	nominative	-	-	-	-	singular	Moses	noun	43	-	2 Co 3:15	Torah ⇔ Moses	-
Μωϋσῇ	Μωϋσῆς	masculine	dative	-	-	-	-	singular	Moses	noun	43	-	Ac 7:44	-	-
Ναζαρέθ	Ναζαρέθ	feminine	genitive	-	-	-	-	singular	-	noun, indeclinable	-	-	Ac 10:38	-	-
Ναζαρέθ	Ναζαρέθ	feminine	accusative	-	-	-	-	singular	-	noun, indeclinable	-	-	Lk 2:39	-	-
Ναζαρὲθ	Ναζαρέθ	feminine	genitive	-	-	-	-	singular	-	noun, indeclinable	-	-	Mt 21:11,Lk 2:4	-	-
Ναζαρὲθ	Ναζαρέθ	feminine	accusative	-	-	-	-	singular	-	noun, indeclinable	-	-	Lk 2:51	-	-
Ναζαρὲθ	Ναζαρέθ	feminine	nominative	-	-	-	-	singular	-	noun, indeclinable	-	-	Lk 1:26	-	-
Νῶε	Νῶε	masculine	genitive	-	-	-	-	singular	-	noun, indeclinable	-	-	Mt 24:37,Lk 3:36,Lk 17:26,1 Pe 3:20	-	-
Νῶε	Νῶε	masculine	nominative	-	-	-	-	singular	-	noun, indeclinable	-	-	Mt 24:38,Lk 17:27,Heb 11:7	-	-
Νῶε	Νῶε	masculine	accusative	-	-	-	-	singular	-	noun, indeclinable	-	-	2 Pe 2:5	-	-
Πέτρε	Πέτρος	masculine	vocative	-	-	-	-	singular	Peter	noun	43	-	Lk 22:34,Ac 10:13,Ac 11:7	-	-
Πέτρον	Πέτρος	masculine	accusative	-	-	-	-	singular	Peter	noun	43	-	Mt 4:18,Mt 17:1,Mt 26:37,Mk 3:16,Mk 5:37,Mk 9:2,Mk 14:33,Mk 14:67,Mk 16:8,Lk 6:14,Lk 8:51,Lk 9:28,Lk 22:8,Jn 13:6,Jn 18:16,Jn 20:2,Ac 2:37,Ac 3:3,Ac 3:11,Ac 8:14,Ac 9:32,Ac 9:40,Ac 10:25,Ac 11:13,Ac 12:3,Ac 12:14	-	-
Πέτρος	Πέτρος	masculine	nominative	-	-	-	-	singular	Peter	noun	43	-	Mt 10:2,Mt 14:28,Mt 14:29,Mt 15:15,Mt 16:16,Mt 16:18,Mt 16:22,Mt 17:4,Mt 18:21,Mt 19:27,Mt 26:33,Mt 26:35,Mt 26:58,Mt 26:69,Mt 26:75,Mk 8:29,Mk 8:32,Mk 9:5,Mk 10:28,Mk 11:21,Mk 13:3,Mk 14:29,Mk 14:54,Mk 14:72,Lk 5:8,Lk 8:45,Lk 9:20,Lk 9:32,Lk 9:33,Lk 12:41,Lk 18:28,Lk 22:54,Lk 22:55,Lk 22:58,Lk 22:60,Lk 22:61,Lk 24:12,Jn 1:42,Jn 6:68,Jn 13:8,Jn 13:9,Jn 13:24,Jn 13:36,Jn 13:37,Jn 18:10,Jn 18:15,Jn 18:16,Jn 18:18,Jn 18:25,Jn 18:26,Jn 18:27,Jn 20:3,Jn 20:6,Jn 21:2,Jn 21:3,Jn 21:7,Jn 21:11,Jn 21:17,Jn 21:20,Jn 21:21,Ac 1:13,Ac 1:15,Ac 2:14,Ac 2:38,Ac 3:1,Ac 3:4,Ac 3:6,Ac 3:12,Ac 4:8,Ac 4:19,Ac 5:3,Ac 5:8,Ac 5:9,Ac 5:29,Ac 8:20,Ac 9:34,Ac 9:38,Ac 9:39,Ac 9:40,Ac 10:5,Ac 10:9,Ac 10:14,Ac 10:17,Ac 10:18,Ac 10:21,Ac 10:26,Ac 10:32,Ac 10:34,Ac 10:46,Ac 11:2,Ac 11:4,Ac 12:5,Ac 12:6,Ac 12:11,Ac 12:16,Ac 12:18,Ac 15:7,Ga 2:7,1 Pe 1:1,2 Pe 1:1	-	-
Πέτρου	Πέτρος	masculine	genitive	-	-	-	-	singular	Peter	noun	43	-	Mt 8:14,Mk 14:66,Jn 1:40,Jn 1:44,Jn 6:8,Jn 20:4,Ac 4:13,Ac 5:15,Ac 10:19,Ac 10:44,Ac 12:7,Ac 12:14	-	-
Πέτρῳ	Πέτρος	masculine	dative	-	-	-	-	singular	Peter	noun	43	-	Mt 16:23,Mt 17:24,Mt 26:40,Mt 26:73,Mk 8:33,Mk 14:37,Mk 14:70,Mk 16:7,Lk 22:61,Jn 18:11,Jn 18:17,Jn 21:7,Jn 21:15,Ac 10:45,Ga 2:8	-	-
Παύλου	Παῦλος	masculine	genitive	-	-	-	-	singular	Paul	noun	43	-	Ac 13:45,Ac 14:9,Ac 15:12,Ac 16:14,Ac 17:13,Ac 17:16,Ac 18:14,Ac 19:6,Ac 19:11,Ac 19:29,Ac 19:30,Ac 20:9,Ac 20:37,Ac 21:11,Ac 21:30,Ac 23:16,Ac 24:1,Ac 24:26,Ac 25:2,Ac 25:8,Ac 25:21,Ac 27:11,Ac 28:3,Ac 28:25,1 Co 1:12,1 Co 1:13,1 Co 3:4,1 Co 16:21,Col 4:18,2 Th 3:17	-	-
Παύλῳ	Παῦλος	masculine	dative	-	-	-	-	singular	Paul	noun	43	-	Ac 13:7,Ac 13:43,Ac 15:2,Ac 15:22,Ac 15:25,Ac 16:9,Ac 16:17,Ac 16:29,Ac 17:2,Ac 17:4,Ac 18:9,Ac 18:12,Ac 21:4,Ac 23:16,Ac 25:9,Ac 27:3,Ac 28:16	-	-
Παῦλε	Παῦλος	masculine	vocative	-	-	-	-	singular	Paul	noun	43	-	Ac 26:24,Ac 27:24	-	-
Παῦλον	Παῦλος	masculine	accusative	-	-	-	-	singular	Paul	noun	43	-	Ac 13:13,Ac 13:50,Ac 14:12,Ac 14:19,Ac 15:2,Ac 16:19,Ac 16:36,Ac 17:10,Ac 17:14,Ac 17:15,Ac 19:1,Ac 19:15,Ac 20:13,Ac 21:32,Ac 22:30,Ac 23:12,Ac 23:14,Ac 23:20,Ac 23:24,Ac 23:31,Ac 23:33,Ac 24:24,Ac 24:27,Ac 25:4,Ac 25:6,Ac 25:14,Ac 26:1,Ac 26:28,Ac 27:1,Ac 27:43	-	-
Παῦλος	Παῦλος	masculine	nominative	-	-	-	-	singular	Paul	noun	43	-	Ac 13:9,Ac 13:16,Ac 13:46,Ac 14:11,Ac 14:14,Ac 15:35,Ac 15:36,Ac 15:38,Ac 15:40,Ac 16:3,Ac 16:18,Ac 16:25,Ac 16:28,Ac 16:37,Ac 17:22,Ac 17:33,Ac 18:5,Ac 18:18,Ac 19:4,Ac 19:13,Ac 19:21,Ac 19:26,Ac 20:1,Ac 20:7,Ac 20:10,Ac 20:16,Ac 21:13,Ac 21:18,Ac 21:26,Ac 21:29,Ac 21:37,Ac 21:39,Ac 21:40,Ac 22:25,Ac 22:28,Ac 23:1,Ac 23:3,Ac 23:5,Ac 23:6,Ac 23:10,Ac 23:17,Ac 23:18,Ac 24:10,Ac 25:10,Ac 25:19,Ac 25:23,Ac 26:1,Ac 26:25,Ac 26:29,Ac 27:9,Ac 27:21,Ac 27:31,Ac 27:33,Ac 28:8,Ac 28:15,Ro 1:1,1 Co 1:1,1 Co 1:13,1 Co 3:5,1 Co 3:22,2 Co 1:1,2 Co 10:1,Ga 1:1,Ga 5:2,Eph 1:1,Eph 3:1,Php 1:1,Col 1:1,Col 1:23,1 Th 1:1,1 Th 2:18,2 Th 1:1,1 Ti 1:1,2 Ti 1:1,Tt 1:1,Phm 1,Phm 9,Phm 19,2 Pe 3:15	-	-
